,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,WKN,Typ,Basiswert,Basispreis,Bezugsverhältnis,Bewertungstag,Geld,Brief,Performance
1,PD022R,Call,DAX®,15800,0.01,19.03.21,0.001,0.05,0
2,PD022S,Call,DAX®,15900,0.01,19.03.21,0.001,0.05,0
3,PD022T,Call,DAX®,16000,0.01,19.03.21,0.001,0.05,0
4,PD022U,Call,DAX®,16100,0.01,19.03.21,0.001,0.05,0
5,PD022V,Call,DAX®,16200,0.01,19.03.21,0.001,0.05,0
6,PD022W,Call,DAX®,16300,0.01,19.03.21,0.001,0.05,0
7,PD022X,Call,DAX®,16400,0.01,19.03.21,0.001,0.05,0
8,PD022Y,Call,DAX®,16500,0.01,19.03.21,0.001,0.05,0
9,PD023E,Call,DAX®,16000,0.01,16.04.21,0.024,0.05,33.3333
10,PD023F,Call,DAX®,16100,0.01,16.04.21,0.018,0.05,38.4615
11,PD023G,Call,DAX®,16200,0.01,16.04.21,0.014,0.05,75
12,PD023H,Call,DAX®,16300,0.01,16.04.21,0.01,0.05,100
13,PD023J,Call,DAX®,16400,0.01,16.04.21,0.006,0.05,200
14,PD023K,Call,DAX®,16500,0.01,16.04.21,0.004,0.05,300
15,PF59J7,Call,DAX®,15000,0.01,05.03.21,0.001,0.05,0
16,PF59J8,Call,DAX®,15100,0.01,12.03.21,0.006,0.05,200
17,PF59KA,Call,DAX®,15400,0.01,26.03.21,0.028,0.05,40
18,PF5A40,Put,DAX®,12300,0.01,05.03.21,0.001,0.05,-83.3333
19,PF5A41,Put,DAX®,12350,0.01,05.03.21,0.001,0.05,-85.7143
20,PF5A42,Put,DAX®,12400,0.01,05.03.21,0.001,0.05,-87.5
21,PF5A43,Put,DAX®,12450,0.01,05.03.21,0.001,0.05,-88.8889
22,PF5A44,Put,DAX®,12500,0.01,05.03.21,0.001,0.05,-90
23,PF5A45,Put,DAX®,12550,0.01,05.03.21,0.002,0.05,-80
24,PF5A46,Put,DAX®,12600,0.01,05.03.21,0.003,0.05,-76.9231
25,PF5A47,Put,DAX®,12650,0.01,05.03.21,0.004,0.05,-73.3333
26,PF5A48,Put,DAX®,12700,0.01,05.03.21,0.004,0.05,-75
27,PF5A49,Put,DAX®,12750,0.01,05.03.21,0.005,0.05,-72.2222
28,PF5A4G,Put,DAX®,11400,0.01,05.03.21,0.001,0.05,0
29,PF5A4H,Put,DAX®,11450,0.01,05.03.21,0.001,0.05,0
30,PF5A4J,Put,DAX®,11500,0.01,05.03.21,0.001,0.05,0
31,PF5A4K,Put,DAX®,11550,0.01,05.03.21,0.001,0.05,0
32,PF5A4L,Put,DAX®,11600,0.01,05.03.21,0.001,0.05,0
33,PF5A4M,Put,DAX®,11650,0.01,05.03.21,0.001,0.05,0
34,PF5A4N,Put,DAX®,11700,0.01,05.03.21,0.001,0.05,0
35,PF5A4P,Put,DAX®,11750,0.01,05.03.21,0.001,0.05,0
48,PF5A5C,Put,DAX®,12900,0.01,05.03.21,0.009,0.05,-66.6667
49,PF5A5D,Put,DAX®,12950,0.01,05.03.21,0.011,0.05,-63.3333
50,PF5A5E,Put,DAX®,13000,0.01,05.03.21,0.012,0.05,-63.6364
51,PF5A5F,Put,DAX®,13050,0.01,05.03.21,0.015,0.05,-61.5385
52,PF5A5G,Put,DAX®,13100,0.01,05.03.21,0.018,0.05,-57.1429
53,PF5A5H,Put,DAX®,13150,0.01,05.03.21,0.022,0.05,-59.2593
54,PF5A5J,Put,DAX®,13200,0.01,05.03.21,0.026,0.05,-58.0645
55,PF5AV3,Call,DAX®,14400,0.01,05.03.21,0.04,0.05,-45.2055
56,PF5AV4,Call,DAX®,14450,0.01,05.03.21,0.021,0.05,-52.2727
57,PF5AV5,Call,DAX®,14500,0.01,05.03.21,0.005,0.05,-73.6842
58,PF5AV6,Call,DAX®,14550,0.01,05.03.21,0.001,0.05,-88.8889
59,PF5AV7,Call,DAX®,14600,0.01,05.03.21,0.001,0.05,-50
60,PF5AV8,Call,DAX®,14650,0.01,05.03.21,0.001,0.05,0
61,PF5AV9,Call,DAX®,14700,0.01,05.03.21,0.001,0.05,0
62,PF5AWA,Call,DAX®,14750,0.01,05.03.21,0.001,0.05,0
63,PF5AWB,Call,DAX®,14800,0.01,05.03.21,0.001,0.05,0
64,PF5AWC,Call,DAX®,14850,0.01,05.03.21,0.001,0.05,0
65,PF5AWD,Call,DAX®,14900,0.01,05.03.21,0.001,0.05,0
66,PF5AWE,Call,DAX®,14950,0.01,05.03.21,0.001,0.05,0
67,PF5AXH,Call,DAX®,14850,0.01,12.03.21,0.028,0.05,12
68,PF5AXJ,Call,DAX®,14900,0.01,12.03.21,0.021,0.05,16.6667
69,PF5AXK,Call,DAX®,14950,0.01,12.03.21,0.016,0.05,33.3333
70,PF5AXL,Call,DAX®,15000,0.01,12.03.21,0.012,0.05,50
71,PH134W,Call,DAX®,15200,0.01,19.03.21,0.022,0.05,69.2308
72,PH134X,Call,DAX®,15300,0.01,19.03.21,0.016,0.05,100
73,PN0BQ2,Put,DAX®,8400,0.01,19.03.21,0.001,0.05,0
74,PN0BQ3,Put,DAX®,8450,0.01,19.03.21,0.001,0.05,-50
75,PN0BQ4,Put,DAX®,8500,0.01,19.03.21,0.001,0.05,-50
76,PN0BQ5,Put,DAX®,8550,0.01,19.03.21,0.002,0.05,0
77,PN0BQ6,Put,DAX®,8600,0.01,19.03.21,0.002,0.05,-33.3333
78,PN0BQ7,Put,DAX®,8650,0.01,19.03.21,0.003,0.05,0
79,PN0BQ8,Put,DAX®,8700,0.01,19.03.21,0.003,0.05,-25
80,PN0BQ9,Put,DAX®,8750,0.01,19.03.21,0.004,0.05,0
81,PN0BR0,Put,DAX®,10000,0.01,19.03.21,0.023,0.05,4.5455
82,PN0BR1,Put,DAX®,10050,0.01,19.03.21,0.024,0.05,9.0909
83,PN0BR2,Put,DAX®,10100,0.01,19.03.21,0.026,0.05,8.3333
84,PN0BR3,Put,DAX®,10150,0.01,19.03.21,0.027,0.05,3.8462
85,PN0BR4,Put,DAX®,10200,0.01,19.03.21,0.028,0.05,7.6923
86,PN0BR5,Put,DAX®,10250,0.01,19.03.21,0.03,0.05,7.1429
87,PN0BRA,Put,DAX®,8800,0.01,19.03.21,0.004,0.05,-20
88,PN0BRB,Put,DAX®,8850,0.01,19.03.21,0.004,0.05,-20
89,PN0BRC,Put,DAX®,8900,0.01,19.03.21,0.005,0.05,-16.6667
90,PN0BRD,Put,DAX®,8950,0.01,19.03.21,0.006,0.05,0
91,PN0BRE,Put,DAX®,9000,0.01,19.03.21,0.006,0.05,-14.2857
92,PN0BRF,Put,DAX®,9050,0.01,19.03.21,0.007,0.05,0
93,PN0BRG,Put,DAX®,9100,0.01,19.03.21,0.008,0.05,0
94,PN0BRH,Put,DAX®,9150,0.01,19.03.21,0.008,0.05,0
95,PN0BRJ,Put,DAX®,9200,0.01,19.03.21,0.009,0.05,0
96,PN0BRK,Put,DAX®,9250,0.01,19.03.21,0.01,0.05,0
97,PN0BRL,Put,DAX®,9300,0.01,19.03.21,0.01,0.05,0
98,PN0BRM,Put,DAX®,9350,0.01,19.03.21,0.011,0.05,0
99,PN0BRN,Put,DAX®,9400,0.01,19.03.21,0.012,0.05,9.0909
100,PN0BRP,Put,DAX®,9450,0.01,19.03.21,0.013,0.05,8.3333
101,PN0BRQ,Put,DAX®,9500,0.01,19.03.21,0.013,0.05,0
102,PN0BRR,Put,DAX®,9550,0.01,19.03.21,0.014,0.05,0
103,PN0BRS,Put,DAX®,9600,0.01,19.03.21,0.015,0.05,7.1429
104,PN0BRT,Put,DAX®,9650,0.01,19.03.21,0.016,0.05,6.6667
105,PN0BRU,Put,DAX®,9700,0.01,19.03.21,0.017,0.05,6.25
106,PN0BRV,Put,DAX®,9750,0.01,19.03.21,0.018,0.05,5.8824
107,PN0BRW,Put,DAX®,9800,0.01,19.03.21,0.019,0.05,5.5556
108,PN0BRX,Put,DAX®,9850,0.01,19.03.21,0.02,0.05,5.2632
109,PN0BRY,Put,DAX®,9900,0.01,19.03.21,0.021,0.05,5
110,PN0BRZ,Put,DAX®,9950,0.01,19.03.21,0.022,0.05,4.7619
111,PN1Y0T,Call,DAX®,15400,0.01,19.03.21,0.011,0.05,266.6667
112,PN1Y0U,Call,DAX®,15500,0.01,19.03.21,0.007,0.05,600
113,PN1Y0V,Call,DAX®,15600,0.01,19.03.21,0.004,0.05,300
114,PN1Y0W,Call,DAX®,15700,0.01,19.03.21,0.002,0.05,100
115,PX8KM0,Call,DAX®,17600,0.01,18.06.21,0.03,0.05,15.3846
116,PX8KM1,Call,DAX®,17700,0.01,18.06.21,0.027,0.05,22.7273
117,PD023D,Call,DAX®,15900,0.01,16.04.21,0.031,0.051,24
118,PF5A5K,Put,DAX®,13250,0.01,05.03.21,0.031,0.051,-56.338
119,PN0BR6,Put,DAX®,10300,0.01,19.03.21,0.031,0.051,6.8966
120,PN0BR7,Put,DAX®,10350,0.01,19.03.21,0.033,0.053,6.4516
121,PF5AXG,Call,DAX®,14800,0.01,12.03.21,0.035,0.055,2.9412
122,PH134V,Call,DAX®,15100,0.01,19.03.21,0.035,0.055,45.8333
123,PN0BR8,Put,DAX®,10400,0.01,19.03.21,0.035,0.055,9.375
124,PN0BR9,Put,DAX®,10450,0.01,19.03.21,0.036,0.056,5.8824
125,PF5A5L,Put,DAX®,13300,0.01,05.03.21,0.038,0.058,-54.2169
126,PF59J9,Call,DAX®,15300,0.01,26.03.21,0.039,0.059,30
127,PN0BSA,Put,DAX®,10500,0.01,19.03.21,0.039,0.059,8.3333
128,PN0BSB,Put,DAX®,10550,0.01,19.03.21,0.039,0.059,8.3333
129,PF5A5M,Put,DAX®,13350,0.01,05.03.21,0.05,0.06,-50
130,PD023C,Call,DAX®,15800,0.01,16.04.21,0.041,0.061,20.5882
131,PN0BSC,Put,DAX®,10600,0.01,19.03.21,0.041,0.061,5.1282
132,PF5A5T,Put,DAX®,11400,0.01,12.03.21,0.042,0.062,-4.5455
133,PF5A5U,Put,DAX®,11450,0.01,12.03.21,0.043,0.063,-6.5217
134,PN0BSD,Put,DAX®,10650,0.01,19.03.21,0.043,0.063,7.5
135,PF5A5V,Put,DAX®,11500,0.01,12.03.21,0.045,0.065,-4.2553
136,PN0BSE,Put,DAX®,10700,0.01,19.03.21,0.045,0.065,7.1429
137,PF5AXF,Call,DAX®,14750,0.01,12.03.21,0.046,0.066,0
138,PF5A5W,Put,DAX®,11550,0.01,12.03.21,0.047,0.067,-4.0816
139,PN0BSF,Put,DAX®,10750,0.01,19.03.21,0.047,0.067,6.8182
140,PH134U,Call,DAX®,15000,0.01,19.03.21,0.048,0.068,33.3333
141,PF5A5N,Put,DAX®,13400,0.01,05.03.21,0.059,0.069,-50.8333
142,PF5A5X,Put,DAX®,11600,0.01,12.03.21,0.049,0.069,-7.5472
143,PN0BSG,Put,DAX®,10800,0.01,19.03.21,0.05,0.07,8.6957
144,PF5A5Y,Put,DAX®,11650,0.01,12.03.21,0.051,0.071,-5.5556
145,PD023B,Call,DAX®,15700,0.01,16.04.21,0.052,0.072,18.1818
146,PN0BSH,Put,DAX®,10850,0.01,19.03.21,0.052,0.072,6.1224
147,PF5A5Z,Put,DAX®,11700,0.01,12.03.21,0.053,0.073,-8.6207
148,PF5AYU,Call,DAX®,15200,0.01,26.03.21,0.054,0.074,20
149,PN0BSJ,Put,DAX®,10900,0.01,19.03.21,0.054,0.074,5.8824
150,PF1G28,Discount Call,DAX®,14900,0.01,19.03.21,0.055,0.075,19.5652
151,PF5A50,Put,DAX®,11750,0.01,12.03.21,0.055,0.075,-8.3333
152,PF5A51,Put,DAX®,11800,0.01,12.03.21,0.057,0.077,-9.5238
176,PH134S,Call,DAX®,14900,0.01,19.03.21,0.077,0.097,26.2295
177,PN0BSS,Put,DAX®,11300,0.01,19.03.21,0.077,0.097,4.0541
178,PD0232,Call,DAX®,16400,0.01,21.05.21,0.079,0.099,12.8571
179,PF5A59,Put,DAX®,12200,0.01,12.03.21,0.079,0.099,-12.2222
180,PF0TT0,Discount Put,DAX®,9900,0.01,19.03.21,0.005,0.1,25
181,PF0TT1,Discount Put,DAX®,10000,0.01,19.03.21,0.004,0.1,33.3333
182,PF0TT2,Discount Put,DAX®,10100,0.01,19.03.21,0.007,0.1,16.6667
183,PF0TT3,Discount Put,DAX®,10200,0.01,19.03.21,0.008,0.1,14.2857
184,PF0TT4,Discount Put,DAX®,10300,0.01,19.03.21,0.01,0.1,25
185,PF0TT5,Discount Put,DAX®,10400,0.01,19.03.21,0.011,0.1,10
186,PF0TT6,Discount Put,DAX®,10500,0.01,19.03.21,0.013,0.1,18.1818
187,PF0TT7,Discount Put,DAX®,10600,0.01,19.03.21,0.014,0.1,7.6923
188,PF0TT8,Discount Put,DAX®,10700,0.01,19.03.21,0.016,0.1,6.6667
189,PF0TT9,Discount Put,DAX®,10900,0.01,19.03.21,0.02,0.1,5.2632
190,PF0TTE,Discount Put,DAX®,10000,0.01,19.03.21,0.017,0.1,13.3333
191,PF0TTF,Discount Put,DAX®,10500,0.01,19.03.21,0.029,0.1,11.5385
192,PF0TTG,Discount Put,DAX®,11000,0.01,19.03.21,0.047,0.1,6.8182
193,PF0TTH,Discount Put,DAX®,11500,0.01,19.03.21,0.075,0.1,2.7397
194,PF0TTJ,Discount Put,DAX®,8300,0.01,19.03.21,0.001,0.1,0
195,PF0TTK,Discount Put,DAX®,8400,0.01,19.03.21,0.001,0.1,0
196,PF0TTL,Discount Put,DAX®,8500,0.01,19.03.21,0.001,0.1,0
197,PF0TTM,Discount Put,DAX®,8600,0.01,19.03.21,0.001,0.1,0
198,PF0TTN,Discount Put,DAX®,8700,0.01,19.03.21,0.001,0.1,0
199,PF0TTP,Discount Put,DAX®,8800,0.01,19.03.21,0.001,0.1,0
200,PF0TTQ,Discount Put,DAX®,8900,0.01,19.03.21,0.001,0.1,0
201,PF0TTR,Discount Put,DAX®,9000,0.01,19.03.21,0.001,0.1,0
202,PF0TTS,Discount Put,DAX®,9100,0.01,19.03.21,0.001,0.1,0
203,PF0TTT,Discount Put,DAX®,9200,0.01,19.03.21,0.001,0.1,0
204,PF0TTU,Discount Put,DAX®,9300,0.01,19.03.21,0.001,0.1,0
205,PF0TTV,Discount Put,DAX®,9400,0.01,19.03.21,0.001,0.1,0
206,PF0TTW,Discount Put,DAX®,9500,0.01,19.03.21,0.001,0.1,0
207,PF0TTX,Discount Put,DAX®,9600,0.01,19.03.21,0.002,0.1,100
208,PF0TTY,Discount Put,DAX®,9700,0.01,19.03.21,0.003,0.1,50
209,PF0TTZ,Discount Put,DAX®,9800,0.01,19.03.21,0.004,0.1,33.3333
210,PF0TU0,Discount Put,DAX®,10800,0.01,19.03.21,0.028,0.1,7.6923
211,PF0TU1,Discount Put,DAX®,11000,0.01,19.03.21,0.034,0.1,6.25
212,PF0TU2,Discount Put,DAX®,11200,0.01,19.03.21,0.041,0.1,2.5
213,PF0TU3,Discount Put,DAX®,11500,0.01,19.03.21,0.055,0.1,0
214,PF0TUA,Discount Put,DAX®,11100,0.01,19.03.21,0.025,0.1,4.1667
215,PF0TUB,Discount Put,DAX®,11300,0.01,19.03.21,0.031,0.1,0
216,PF0TUC,Discount Put,DAX®,11400,0.01,19.03.21,0.034,0.1,-2.8571
217,PF0TUD,Discount Put,DAX®,11600,0.01,19.03.21,0.042,0.1,-4.5455
218,PF0TUE,Discount Put,DAX®,11700,0.01,19.03.21,0.046,0.1,-6.1224
219,PF0TUF,Discount Put,DAX®,11900,0.01,19.03.21,0.057,0.1,-8.0645
220,PF0TUG,Discount Put,DAX®,12100,0.01,19.03.21,0.071,0.1,-10.1266
221,PF0TUS,Discount Put,DAX®,8800,0.01,19.03.21,0.001,0.1,0
222,PF0TUT,Discount Put,DAX®,9000,0.01,19.03.21,0.001,0.1,0
223,PF0TUU,Discount Put,DAX®,9200,0.01,19.03.21,0.002,0.1,0
224,PF0TUV,Discount Put,DAX®,9500,0.01,19.03.21,0.005,0.1,25
225,PF0TUW,Discount Put,DAX®,9800,0.01,19.03.21,0.008,0.1,14.2857
226,PF0TUX,Discount Put,DAX®,10000,0.01,19.03.21,0.01,0.1,25
227,PF0TUY,Discount Put,DAX®,10200,0.01,19.03.21,0.015,0.1,25
228,PF0TUZ,Discount Put,DAX®,10500,0.01,19.03.21,0.02,0.1,11.1111
229,PF5A5Q,Put,DAX®,13500,0.01,05.03.21,0.09,0.1,-47.0588
230,PF5A6A,Put,DAX®,12250,0.01,12.03.21,0.08,0.1,-20
231,PF5AXD,Call,DAX®,14650,0.01,12.03.21,0.09,0.1,0
232,PN02SB,Discount Put,DAX®,11200,0.01,19.03.21,0.057,0.1,5.5556
233,PN0BST,Put,DAX®,11350,0.01,19.03.21,0.08,0.1,2.5641
234,PN0BSU,Put,DAX®,11400,0.01,19.03.21,0.08,0.1,0
235,PX3W6F,Discount Put,DAX®,10800,0.01,19.03.21,0.018,0.1,5.8824
236,PX3W6G,Discount Put,DAX®,11000,0.01,19.03.21,0.022,0.1,4.7619
237,PX3W6H,Discount Put,DAX®,11200,0.01,19.03.21,0.028,0.1,3.7037
238,PX3W6J,Discount Put,DAX®,11500,0.01,19.03.21,0.038,0.1,-2.5641
239,PX3W6K,Discount Put,DAX®,11800,0.01,19.03.21,0.051,0.1,-7.2727
240,PX3W6L,Discount Put,DAX®,12000,0.01,19.03.21,0.064,0.1,-8.5714
241,PX3W6M,Discount Put,DAX®,12200,0.01,19.03.21,0.08,0.1,-11.1111
242,PX3W7C,Discount Put,DAX®,11800,0.01,19.03.21,0.074,0.1,-5.1282
243,PD0229,Call,DAX®,15500,0.01,16.04.21,0.09,0.11,16.8831
244,PF0TUH,Discount Put,DAX®,12300,0.01,19.03.21,0.09,0.11,-10
245,PF5A6B,Put,DAX®,12300,0.01,12.03.21,0.09,0.11,-10
246,PF5A6C,Put,DAX®,12350,0.01,12.03.21,0.09,0.11,-18.1818
247,PN0BSV,Put,DAX®,11450,0.01,19.03.21,0.09,0.11,0
248,PX3W7D,Discount Put,DAX®,12000,0.01,19.03.21,0.09,0.11,-10
249,PX55S8,Call,DAX®,16900,0.01,18.06.21,0.09,0.11,12.5
250,PD0231,Call,DAX®,16300,0.01,21.05.21,0.1,0.12,25
251,PF0TUJ,Discount Put,DAX®,12400,0.01,19.03.21,0.1,0.12,-16.6667
252,PF1G27,Discount Call,DAX®,14800,0.01,19.03.21,0.1,0.12,25
253,PF5A6D,Put,DAX®,12400,0.01,12.03.21,0.1,0.12,-16.6667
254,PF5A6E,Put,DAX®,12450,0.01,12.03.21,0.1,0.12,-16.6667
255,PF5AV1,Call,DAX®,14300,0.01,05.03.21,0.11,0.12,-38.8889
256,PH134R,Call,DAX®,14850,0.01,19.03.21,0.1,0.12,28.2051
257,PH14P6,Put,DAX®,11550,0.01,19.03.21,0.1,0.12,11.1111
258,PH14P7,Put,DAX®,11600,0.01,19.03.21,0.1,0.12,0
259,PN02SC,Discount Put,DAX®,11800,0.01,19.03.21,0.1,0.12,0
260,PN0BSW,Put,DAX®,11500,0.01,19.03.21,0.1,0.12,11.1111
261,PX982T,Put,DAX®,6800,0.01,18.06.21,0.1,0.12,0
262,PX982U,Put,DAX®,6850,0.01,18.06.21,0.1,0.12,0
263,PF0TU4,Discount Put,DAX®,8500,0.01,18.06.21,0.11,0.13,0
264,PF1G3A,Discount Call,DAX®,14800,0.01,19.03.21,0.11,0.13,22.2222
265,PF1G3B,Discount Call,DAX®,14800,0.01,19.03.21,0.11,0.13,22.2222
266,PF1L9Q,Discount Put,DAX®,11100,0.01,16.04.21,0.11,0.13,0
267,PF5A5R,Put,DAX®,13550,0.01,05.03.21,0.12,0.13,-40
268,PF5A6F,Put,DAX®,12500,0.01,12.03.21,0.11,0.13,-21.4286
269,PF5AXC,Call,DAX®,14600,0.01,12.03.21,0.12,0.13,-7.6923
270,PF5AYS,Call,DAX®,15000,0.01,26.03.21,0.11,0.13,10
271,PH14P8,Put,DAX®,11650,0.01,19.03.21,0.11,0.13,0
