0,WKN,Typ,Basiswert,Basispreis,Anzahl Aktien,Bewertungstag,Geld,Brief,Performance
1,PD04B0,Aktienanleihe Classic,ALLIANZ,170,5.88235,18.06.21,101.15,101.25,0.24%
2,PD04B1,Aktienanleihe Classic,ALLIANZ,175,5.71429,18.06.21,100.95,101.05,0.29%
3,PD04B2,Aktienanleihe Classic,ALLIANZ,180,5.55556,18.06.21,101.26,101.36,0.34%
4,PD04DU,Aktienanleihe Classic,BAYER,52,19.23077,17.12.21,94.41,94.51,-0.33%
5,PD04DV,Aktienanleihe Classic,BAYER,54,18.51852,17.12.21,93.42,93.52,-0.36%
6,PD04DW,Aktienanleihe Classic,BAYER,56,17.85714,17.12.21,92.76,92.86,-0.41%
7,PD04E0,Aktienanleihe Classic,DAIMLER,45,22.22222,17.09.21,105.28,105.38,0.32%
8,PD04E1,Aktienanleihe Classic,DAIMLER,48,20.83333,17.09.21,106.48,106.58,0.39%
9,PD04E2,Aktienanleihe Classic,DAIMLER,36,27.77778,17.12.21,104.07,104.17,0.33%
10,PD04E3,Aktienanleihe Classic,DAIMLER,38,26.31579,17.12.21,104.63,104.73,0.35%
11,PD04E4,Aktienanleihe Classic,DAIMLER,42,23.80952,17.12.21,104.85,104.95,0.43%
12,PD04E5,Aktienanleihe Classic,DAIMLER,44,22.72727,17.12.21,105.31,105.41,0.47%
13,PD04E6,Aktienanleihe Classic,DAIMLER,45,22.22222,17.12.21,105.52,105.62,0.49%
14,PD04E7,Aktienanleihe Classic,DAIMLER,48,20.83333,17.12.21,107.29,107.39,0.53%
15,PD04EF,Aktienanleihe Classic,DAIMLER,38,26.31579,19.03.21,100.45,100.55,-0.01%
16,PD04EG,Aktienanleihe Classic,DAIMLER,38,26.31579,19.03.21,100.55,100.65,-0.02%
17,PD04EH,Aktienanleihe Classic,DAIMLER,40,25,19.03.21,100.58,100.68,-0.01%
18,PD04EJ,Aktienanleihe Classic,DAIMLER,42,23.80952,19.03.21,100.63,100.73,-0.01%
19,PD04EK,Aktienanleihe Classic,DAIMLER,42,23.80952,19.03.21,100.84,100.94,-0.02%
20,PD04EL,Aktienanleihe Classic,DAIMLER,44,22.72727,19.03.21,100.94,101.04,-0.03%
21,PD04EM,Aktienanleihe Classic,DAIMLER,45,22.22222,19.03.21,100.99,101.09,-0.03%
22,PD04EN,Aktienanleihe Classic,DAIMLER,46,21.73913,19.03.21,101.04,101.14,-0.04%
23,PD04EP,Aktienanleihe Classic,DAIMLER,48,20.83333,19.03.21,101.14,101.24,-0.04%
24,PD04EQ,Aktienanleihe Classic,DAIMLER,36,27.77778,18.06.21,101.81,101.91,0.07%
25,PD04ER,Aktienanleihe Classic,DAIMLER,38,26.31579,18.06.21,102.05,102.15,0.08%
26,PD04ES,Aktienanleihe Classic,DAIMLER,40,25,18.06.21,102.43,102.53,0.10%
27,PD04ET,Aktienanleihe Classic,DAIMLER,44,22.72727,18.06.21,103.45,103.55,0.14%
28,PD04EU,Aktienanleihe Classic,DAIMLER,46,21.73913,18.06.21,103.93,104.03,0.16%
29,PD04EV,Aktienanleihe Classic,DAIMLER,48,20.83333,18.06.21,104.38,104.48,0.20%
30,PD04EW,Aktienanleihe Classic,DAIMLER,36,27.77778,17.09.21,102.56,102.66,0.20%
31,PD04EX,Aktienanleihe Classic,DAIMLER,38,26.31579,17.09.21,102.97,103.07,0.22%
32,PD04EY,Aktienanleihe Classic,DAIMLER,40,25,17.09.21,103.62,103.72,0.24%
33,PD04EZ,Aktienanleihe Classic,DAIMLER,42,23.80952,17.09.21,104.26,104.36,0.28%
34,PD04F0,Aktienanleihe Classic,COVESTRO,42,23.80952,19.03.21,100.52,100.62,-0.05%
35,PD04F1,Aktienanleihe Classic,COVESTRO,44,22.72727,19.03.21,100.83,100.93,-0.06%
