,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,WKN,Typ,Basiswert,Basispreis,Anzahl Aktien,Bewertungstag,Geld,Brief,Performance
1,PD04B0,Aktienanleihe Classic,ALLIANZ,170,5.88235,18.06.2021,101.15,101.25,0.2378
2,PD04B1,Aktienanleihe Classic,ALLIANZ,175,5.71429,18.06.2021,100.95,101.05,0.2881
3,PD04B2,Aktienanleihe Classic,ALLIANZ,180,5.55556,18.06.2021,101.26,101.36,0.3369
4,PD04B3,Aktienanleihe Classic,ALLIANZ,190,5.26316,18.06.2021,100.62,100.72,0.5094
5,PD04B4,Aktienanleihe Classic,ALLIANZ,195,5.12821,18.06.2021,100.68,100.78,0.5895
6,PD04B5,Aktienanleihe Classic,ALLIANZ,148,6.75676,17.09.2021,100.5,100.6,0.1894
7,PD04B6,Aktienanleihe Classic,ALLIANZ,148,6.75676,17.09.2021,101.6,101.7,0.1775
8,PD04B7,Aktienanleihe Classic,ALLIANZ,150,6.66667,17.09.2021,101.23,101.33,0.188
9,PD04B8,Aktienanleihe Classic,ALLIANZ,155,6.45161,17.09.2021,100.7,100.8,0.2189
10,PD04B9,Aktienanleihe Classic,ALLIANZ,155,6.45161,17.09.2021,101.81,101.91,0.2166
11,PD04BM,Aktienanleihe Classic,ALLIANZ,170,5.88235,19.03.2021,100.3,100.4,0.01
12,PD04BN,Aktienanleihe Classic,ALLIANZ,170,5.88235,19.03.2021,100.4,100.5,0
13,PD04BP,Aktienanleihe Classic,ALLIANZ,175,5.71429,19.03.2021,100.41,100.51,0.01
14,PD04BQ,Aktienanleihe Classic,ALLIANZ,175,5.71429,19.03.2021,100.59,100.69,0
15,PD04BR,Aktienanleihe Classic,ALLIANZ,180,5.55556,19.03.2021,100.61,100.71,0.0199
16,PD04BS,Aktienanleihe Classic,ALLIANZ,185,5.40541,19.03.2021,100.6,100.7,0.0497
17,PD04BT,Aktienanleihe Classic,ALLIANZ,190,5.26316,19.03.2021,100.65,100.75,0.1094
18,PD04BU,Aktienanleihe Classic,ALLIANZ,195,5.12821,19.03.2021,100.49,100.59,0.2294
19,PD04BV,Aktienanleihe Classic,ALLIANZ,155,6.45161,18.06.2021,100.78,100.88,0.1391
20,PD04BW,Aktienanleihe Classic,ALLIANZ,155,6.45161,18.06.2021,101.38,101.48,0.1284
21,PD04BX,Aktienanleihe Classic,ALLIANZ,160,6.25,18.06.2021,101.05,101.15,0.1685
22,PD04BY,Aktienanleihe Classic,ALLIANZ,165,6.06061,18.06.2021,100.98,101.08,0.1985
23,PD04BZ,Aktienanleihe Classic,ALLIANZ,165,6.06061,18.06.2021,101.58,101.68,0.1874
24,PD04C0,Aktienanleihe Classic,BAYER,58,17.24138,19.03.2021,90.81,90.91,-0.6346
25,PD04C1,Aktienanleihe Classic,BAYER,44,22.72727,18.06.2021,98.25,98.35,-0.1321
26,PD04C2,Aktienanleihe Classic,BAYER,44,22.72727,18.06.2021,98.85,98.95,-0.1414
27,PD04C3,Aktienanleihe Classic,BAYER,45,22.22222,18.06.2021,97.9,98,-0.1632
