"WKN;""Basiswert"";""Produkttyp"";""Letzter Bewertungstag"";""Zeit"";""Quotierung"";""Geld"";""Brief""",,
"DFP2R0;""Rational AG"";""Aktienanleihe Classic"";""10.09.2021"";""15:19:37"";""DZ BANK"";""100","18 %"";""100","480003 %"""
"DV05WG;""ZOOPLUS AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:22:10"";""DZ BANK"";""104","480003 %"";""104","68 %"""
"DV05TC;""Jenoptik AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:12:20"";""DZ BANK"";""102","489998 %"";""102","589996 %"""
"DV05QZ;""Bauer AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:09:06"";""DZ BANK"";""103","610001 %"";""103","910004 %"""
"DV05QW;""Banco Bilbao Vizcaya Argentaria"";""Aktienanleihe Classic"";""18.03.2022"";""15:09:40"";""DZ BANK"";""101","080002 %"";""101","279999 %"""
"DV05R8;""EssilorLuxottica"";""Aktienanleihe Classic"";""18.03.2022"";""15:13:26"";""DZ BANK"";""100","00 %"";""100","099998 %"""
"DV05P7;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""15:08:57"";""DZ BANK"";""101","050003 %"";""101","150002 %"""
"DV05R9;""Fielmann AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:10:50"";""DZ BANK"";""100","720001 %"";""100","919998 %"""
"DV05U8;""Stellantis N.V."";""Aktienanleihe Classic"";""17.12.2021"";""15:09:42"";""DZ BANK"";""105","629997 %"";""105","730003 %"""
"DV05UF;""q.beyond AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:01:48"";""DZ BANK"";""106","489998 %"";""106","790001 %"""
"DV05VS;""TeamViewer AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:15:59"";""DZ BANK"";""102","50 %"";""102","599998 %"""
"DV05Q6;""BNP Paribas S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:19:53"";""DZ BANK"";""98","029999 %"";""98","230003 %"""
"DV05SQ;""Hannover Rück SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:02:17"";""DZ BANK"";""100","010002 %"";""100","110001 %"""
"DV05VC;""Stratec SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:15:05"";""DZ BANK"";""102","190002 %"";""102","389999 %"""
"DV05Q5;""BNP Paribas S.A."";""Aktienanleihe Classic"";""17.12.2021"";""15:07:55"";""DZ BANK"";""98","599998 %"";""98","800003 %"""
"DV05R4;""Eni S.p.A."";""Aktienanleihe Classic"";""17.03.2022"";""15:11:17"";""DZ BANK"";""97","550003 %"";""97","650002 %"""
"DV05VJ;""Symrise AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:18:52"";""DZ BANK"";""100","379997 %"";""100","480003 %"""
"DV05TV;""LPKF Laser & Electronics AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:17:39"";""DZ BANK"";""103","669998 %"";""103","970001 %"""
"DV05SE;""Gerresheimer AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:20:42"";""DZ BANK"";""100","669998 %"";""100","769997 %"""
"DV05QB;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""15:08:57"";""DZ BANK"";""100","540001 %"";""100","639999 %"""
"DV05T1;""Norma Group AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:08:47"";""DZ BANK"";""102","330002 %"";""102","43 %"""
"DV05TS;""L'Oreal S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:11:54"";""DZ BANK"";""99","339996 %"";""99","440002 %"""
"DV05V1;""Uniper SE"";""Aktienanleihe Classic"";""18.03.2022"";""15:15:37"";""DZ BANK"";""99","68 %"";""99","779999 %"""
"DV05V8;""Vivendi S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:18:14"";""DZ BANK"";""101","410004 %"";""101","510002 %"""
"DV05SP;""Hamburger Hafen und Logistik AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:15:54"";""DZ BANK"";""103","800003 %"";""104","00 %"""
"DV05R0;""Enel S.p.A."";""Aktienanleihe Classic"";""17.03.2022"";""15:17:28"";""DZ BANK"";""97","989998 %"";""98","089996 %"""
"DV05TQ;""Krones AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:09:33"";""DZ BANK"";""97","830002 %"";""98","029999 %"""
"DV05VQ;""TeamViewer AG"";""Aktienanleihe Classic"";""17.12.2021"";""15:16:01"";""DZ BANK"";""101","75 %"";""101","849998 %"""
"DV05QH;""Air Liquide S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:20:25"";""DZ BANK"";""96","230003 %"";""96","43 %"""
"DV05SR;""Hella GmbH & Co KGaA"";""Aktienanleihe Classic"";""17.12.2021"";""15:16:52"";""DZ BANK"";""101","580002 %"";""101","779999 %"""
"DV05TT;""LEG Immobilien AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:19:31"";""DZ BANK"";""98","779999 %"";""98","879997 %"""
"DV05UM;""Rational AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:15:13"";""DZ BANK"";""102","440002 %"";""102","739998 %"""
"DV05V2;""Varta AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:12:39"";""DZ BANK"";""101","459999 %"";""101","559998 %"""
"DV05QA;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""15:08:57"";""DZ BANK"";""100","68 %"";""100","779999 %"""
"DV05VB;""Stellantis N.V."";""Aktienanleihe Classic"";""18.03.2022"";""15:09:42"";""DZ BANK"";""105","43 %"";""105","529999 %"""
"DV05QT;""AUTO1 Group SE"";""Aktienanleihe Classic"";""18.03.2022"";""14:53:05"";""DZ BANK"";""107","709999 %"";""107","809998 %"""
"DV05QF;""Ahold Delhaize NV"";""Aktienanleihe Classic"";""18.03.2022"";""15:04:55"";""DZ BANK"";""98","690002 %"";""98","790001 %"""
"DV05RL;""Deutsche EuroShop AG"";""Aktienanleihe Classic"";""18.03.2022"";""15:18:42"";""DZ BANK"";""105","669998 %"";""105","769997 %"""
"DV05R1;""Engie S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:12:48"";""DZ BANK"";""96","019997 %"";""96","120003 %"""
"DV05T6;""Koninklijke Philips N.V."";""Aktienanleihe Classic"";""18.03.2022"";""15:09:43"";""DZ BANK"";""98","699997 %"";""98","800003 %"""
"DV05QE;""Ahold Delhaize NV"";""Aktienanleihe Classic"";""17.12.2021"";""15:04:56"";""DZ BANK"";""98","970001 %"";""99","07 %"""
"DV05VZ;""Unicredito Italiano S.p.A."";""Aktienanleihe Classic"";""17.03.2022"";""15:08:43"";""DZ BANK"";""98","639999 %"";""98","739998 %"""
"DV05P6;""Adyen"";""Aktienanleihe Classic"";""18.03.2022"";""15:08:57"";""DZ BANK"";""101","230003 %"";""101","330002 %"""
"DV05UK;""Qiagen N.V."";""Aktienanleihe Classic"";""18.03.2022"";""15:15:21"";""DZ BANK"";""100","059998 %"";""100","260002 %"""
"DV05V6;""Vinci S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:07:41"";""DZ BANK"";""98","43 %"";""98","529999 %"""
"DV05RC;""Capgemini S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:08:27"";""DZ BANK"";""99","970001 %"";""100","07 %"""
"DV05QG;""Air Liquide S.A."";""Aktienanleihe Classic"";""18.03.2022"";""15:20:38"";""DZ BANK"";""97","629997 %"";""97","830002 %"""
"DV05VE;""STROEER OUT-OF-HOME AG INHABER-AKTIEN O.N."";""Aktienanleihe Classic"";""17.12.2021"";""15:18:43"";""DZ BANK"";""100","089996 %"";""100","190002 %"""
