"WKN;""Basiswert"";""Produkttyp"";""Letzter Bewertungstag"";""Zeit"";""Quotierung"";""Geld"";""Brief""",,,
"DV08MB;""Gold-Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV08L4;""Gold-Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV08L8;""Gold-Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV08MA;""Gold-Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV08MF;""Gold-Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV08L5;""Gold-Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV08L6;""Gold-Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV08MC;""Gold-Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV08M4;""Silber-Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV08MG;""Gold-Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV08L7;""Gold-Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV08L9;""Gold-Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV08MD;""Gold-Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV08ME;""Gold-Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV08MH;""Gold-Future"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV0768;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""14:27:35"";""DZ BANK"";""1","60 EUR"";""1","61 EUR""",
"DV076R;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""14:27:32"";""DZ BANK"";""3","22 EUR"";""3","23 EUR""",
"DV070Z;""Volkswagen AG Vz."";""Endlos Turbo Long"";""Endlos"";""14:25:54"";""DZ BANK"";""0","87 EUR"";""0","88 EUR""",
"DV0762;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""14:28:04"";""DZ BANK"";""2","20 EUR"";""2","21 EUR""",
"DV070B;""Stellantis N.V."";""Endlos Turbo Long"";""Endlos"";""14:26:10"";""DZ BANK"";""0","62 EUR"";"" -- EUR""",,
"DV07VM;""Daimler AG"";""Endlos Turbo Long"";""Endlos"";""14:31:10"";""DZ BANK"";""0","31 EUR"";""0","32 EUR""",
"DV07T4;""Allianz SE"";""Endlos Turbo Long"";""Endlos"";""14:34:52"";""DZ BANK"";""0","67 EUR"";""0","68 EUR""",
"DV07SL;""Facebook Inc."";""Endlos Turbo Long"";""Endlos"";""14:33:18"";""DZ BANK"";""0","29 EUR"";""0","75 EUR""",
"DV07U3;""BMW AG"";""Endlos Turbo Long"";""Endlos"";""14:18:16"";""DZ BANK"";""0","15 EUR"";""0","16 EUR""",
"DV07XC;""Hapag-Lloyd AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07XX;""Hypoport AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07X1;""Inditex S.A."";""Endlos Turbo Long"";""Endlos"";""14:31:40"";""DZ BANK"";""0","13 EUR"";""0","14 EUR""",
"DV076S;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""14:27:31"";""DZ BANK"";""3","12 EUR"";""3","13 EUR""",
"DV070X;""Volkswagen AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07SE;""Electronic Arts Inc."";""Endlos Turbo Long"";""Endlos"";""14:36:13"";""DZ BANK"";""0","14 EUR"";""0","35 EUR""",
"DV07XS;""Hochtief AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV0700;""Volkswagen AG Vz."";""Endlos Turbo Long"";""Endlos"";""14:36:50"";""DZ BANK"";""0","77 EUR"";""0","78 EUR""",
"DV07WS;""flatexDEGIRO AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07VB;""CEWE STIFTUNG & CO. KGAA INHABER-AKTIEN O.N."";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07RY;""Amazon.com Inc."";""Endlos Turbo Long"";""Endlos"";""14:33:54"";""DZ BANK"";""0","42 EUR"";""0","85 EUR""",
"DV07T3;""Airbus Group SE"";""Endlos Turbo Long"";""Endlos"";""14:23:40"";""DZ BANK"";""0","32 EUR"";""0","33 EUR""",
"DV07ST;""Microsoft Corporation"";""Endlos Turbo Long"";""Endlos"";""14:36:40"";""DZ BANK"";""0","50 EUR"";""0","55 EUR""",
"DV07WX;""Fresenius Medical Care AG & Co. KGaA"";""Endlos Turbo Long"";""Endlos"";""14:22:51"";""DZ BANK"";""0","09 EUR"";""0","11 EUR""",
"DV07U2;""BMW AG"";""Endlos Turbo Long"";""Endlos"";""14:37:14"";""DZ BANK"";""0","18 EUR"";""0","19 EUR""",
"DV076H;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""14:27:30"";""DZ BANK"";""3","99 EUR"";""4","00 EUR""",
"DV07W7;""Gerresheimer AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07WC;""Deutsche Post AG"";""Endlos Turbo Long"";""Endlos"";""14:10:14"";""DZ BANK"";""0","10 EUR"";""0","11 EUR""",
"DV076T;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""14:28:05"";""DZ BANK"";""3","06 EUR"";""3","07 EUR""",
"DV07V2;""Deutsche Lufthansa AG"";""Endlos Turbo Long"";""Endlos"";""14:22:42"";""DZ BANK"";""0","26 EUR"";""0","28 EUR""",
"DV07TL;""Tesla Inc"";""Endlos Turbo Long"";""Endlos"";""14:34:24"";""DZ BANK"";""0","38 EUR"";""0","40 EUR""",
"DV07ZB;""Rational AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07SN;""General Electric Co."";""Endlos Turbo Long"";""Endlos"";""14:34:47"";""DZ BANK"";""1","18 EUR"";""1","20 EUR""",
"DV07TV;""Aareal Bank AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07U1;""BMW AG"";""Endlos Turbo Long"";""Endlos"";""14:29:59"";""DZ BANK"";""0","22 EUR"";""0","23 EUR""",
"DV07SM;""Freeport-McMoRan Copper & Gold Inc."";""Endlos Turbo Long"";""Endlos"";""14:34:22"";""DZ BANK"";""0","56 EUR"";"" -- EUR""",,
"DV07V9;""Deutsche Post AG"";""Endlos Turbo Long"";""Endlos"";""14:10:15"";""DZ BANK"";""0","16 EUR"";""0","17 EUR""",
"DV07R6;""Apple Inc."";""Endlos Turbo Long"";""Endlos"";""14:23:36"";""DZ BANK"";""0","35 EUR"";""0","37 EUR""",
"DV07YH;""Lanxess AG"";""Endlos Turbo Long"";""Endlos"";""14:24:43"";""DZ BANK"";""0","20 EUR"";""0","21 EUR""",
"DV07WJ;""DWS Group GmbH & Co. KGaA"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07S3;""NVIDIA Corp."";""Endlos Turbo Long"";""Endlos"";""14:20:32"";""DZ BANK"";""0","03 EUR"";""0","30 EUR""",
"DV07ZW;""Siemens AG"";""Endlos Turbo Long"";""Endlos"";""14:22:46"";""DZ BANK"";""0","34 EUR"";""0","35 EUR""",
"DV07Y4;""Porsche Automobil Holding SE"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV071A;""Wacker Chemie AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07WL;""E.ON SE"";""Endlos Turbo Long"";""Endlos"";""14:23:59"";""DZ BANK"";""0","10 EUR"";""0","11 EUR""",
"DV070M;""TUI AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV070H;""TAKKT AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07YQ;""Medigene AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07YG;""Lanxess AG"";""Endlos Turbo Long"";""Endlos"";""14:24:43"";""DZ BANK"";""0","23 EUR"";""0","24 EUR""",
"DV07VG;""COVESTRO AG"";""Endlos Turbo Long"";""Endlos"";""14:22:34"";""DZ BANK"";""0","18 EUR"";""0","19 EUR""",
"DV07Z5;""SMA Solar Technology AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV071B;""Westwing Group AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07WW;""Fresenius Medical Care AG & Co. KGaA"";""Endlos Turbo Long"";""Endlos"";""14:21:50"";""DZ BANK"";""0","11 EUR"";""0","12 EUR""",
"DV07SU;""Microsoft Corporation"";""Endlos Turbo Long"";""Endlos"";""14:36:40"";""DZ BANK"";""0","41 EUR"";""0","55 EUR""",
"DV07WN;""Encavis AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07V8;""Deutsche Post AG"";""Endlos Turbo Long"";""Endlos"";""14:10:15"";""DZ BANK"";""0","18 EUR"";""0","19 EUR""",
"DV07W0;""Fresenius SE & Co. KGaA"";""Endlos Turbo Long"";""Endlos"";""14:31:35"";""DZ BANK"";""0","13 EUR"";""0","14 EUR""",
"DV07SH;""Facebook Inc."";""Endlos Turbo Long"";""Endlos"";""14:32:08"";""DZ BANK"";""0","62 EUR"";""0","75 EUR""",
"DV07SY;""NVIDIA Corp."";""Endlos Turbo Long"";""Endlos"";""14:24:55"";""DZ BANK"";""0","16 EUR"";""0","30 EUR""",
"DV07W5;""Fresenius SE & Co. KGaA"";""Endlos Turbo Long"";""Endlos"";""14:24:31"";""DZ BANK"";""0","039 EUR"";""0","059 EUR""",
"DV07UL;""BASF SE"";""Endlos Turbo Long"";""Endlos"";""14:27:20"";""DZ BANK"";""0","26 EUR"";""0","27 EUR""",
"DV07WG;""Deutz AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07TH;""Tesla Inc"";""Endlos Turbo Long"";""Endlos"";""14:33:31"";""DZ BANK"";""0","47 EUR"";""0","49 EUR""",
"DV07ZK;""Sanofi S.A."";""Endlos Turbo Long"";""Endlos"";""14:33:32"";""DZ BANK"";""0","17 EUR"";""0","18 EUR""",
"DV0766;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""14:33:02"";""DZ BANK"";""1","74 EUR"";""1","75 EUR""",
"DV070V;""va-Q-tec AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07V0;""Deutsche Lufthansa AG"";""Endlos Turbo Long"";""Endlos"";""14:34:19"";""DZ BANK"";""0","40 EUR"";""0","42 EUR""",
"DV07T5;""Allianz SE"";""Endlos Turbo Long"";""Endlos"";""14:29:10"";""DZ BANK"";""0","56 EUR"";""0","57 EUR""",
"DV0769;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""14:34:48"";""DZ BANK"";""1","47 EUR"";""1","48 EUR""",
"DV07X3;""Infineon Technologies AG"";""Endlos Turbo Long"";""Endlos"";""14:15:12"";""DZ BANK"";""0","12 EUR"";""0","13 EUR""",
"DV07VY;""Deutsche Lufthansa AG"";""Endlos Turbo Long"";""Endlos"";""14:22:42"";""DZ BANK"";""0","51 EUR"";""0","53 EUR""",
"DV07R5;""Apple Inc."";""Endlos Turbo Long"";""Endlos"";""14:31:12"";""DZ BANK"";""0","40 EUR"";""0","42 EUR""",
"DV07RW;""Amazon.com Inc."";""Endlos Turbo Long"";""Endlos"";""14:24:17"";""DZ BANK"";""0","68 EUR"";""0","85 EUR""",
"DV07ZY;""Siemens AG"";""Endlos Turbo Long"";""Endlos"";""14:33:12"";""DZ BANK"";""0","21 EUR"";""0","22 EUR""",
"DV07U4;""BMW AG"";""Endlos Turbo Long"";""Endlos"";""14:37:14"";""DZ BANK"";""0","11 EUR"";""0","12 EUR""",
"DV07VA;""Ceconomy AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DFP26Q;""EUR/NZD"";""Endlos Turbo Long"";""Endlos"";""14:24:00"";""DZ BANK"";""0","43 EUR"";""0","45 EUR""",
"DV07TB;""Qualcomm Inc."";""Endlos Turbo Long"";""Endlos"";""14:36:05"";""DZ BANK"";""3","56 EUR"";""3","58 EUR""",
"DV076G;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""14:26:04"";""DZ BANK"";""4","05 EUR"";""4","06 EUR""",
"DV07Y3;""Pfeiffer Vacuum Technology AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07S4;""NVIDIA Corp."";""Endlos Turbo Long"";""Endlos"";""14:23:55"";""DZ BANK"";""0","001 EUR"";""0","30 EUR""",
"DV07UC;""Aumann Br"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV0767;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""14:34:08"";""DZ BANK"";""1","63 EUR"";""1","64 EUR""",
"DV07YV;""Muenchener Rueckversicherungs AG"";""Endlos Turbo Long"";""Endlos"";""14:32:51"";""DZ BANK"";""0","68 EUR"";""0","69 EUR""",
"DV07WV;""Fresenius Medical Care AG & Co. KGaA"";""Endlos Turbo Long"";""Endlos"";""14:22:13"";""DZ BANK"";""0","15 EUR"";""0","16 EUR""",
"DV0765;""DAX (Performance)"";""Endlos Turbo Long"";""Endlos"";""14:33:02"";""DZ BANK"";""1","84 EUR"";""1","85 EUR""",
"DFP26Z;""EUR/SEK"";""Endlos Turbo Long"";""Endlos"";""14:31:29"";""DZ BANK"";""0","38 EUR"";""0","42 EUR""",
"DV07VP;""Daimler AG"";""Endlos Turbo Long"";""Endlos"";""14:37:24"";""DZ BANK"";""0","24 EUR"";""0","25 EUR""",
"DV07XA;""Hamburger Hafen und Logistik AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV070L;""ThyssenKrupp AG"";""Endlos Turbo Long"";""Endlos"";""14:34:14"";""DZ BANK"";""0","34 EUR"";""0","37 EUR""",
"DV07VT;""Deutsche Boerse AG"";""Endlos Turbo Long"";""Endlos"";""14:36:07"";""DZ BANK"";""0","032 EUR"";""0","052 EUR""",
"DV07US;""Bauer AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07Y2;""Patrizia AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV070R;""UmweltBank"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07ZM;""SAP SE"";""Endlos Turbo Long"";""Endlos"";""14:31:39"";""DZ BANK"";""0","31 EUR"";""0","33 EUR""",
"DV07UU;""Bechtle AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07UJ;""BASF SE"";""Endlos Turbo Long"";""Endlos"";""14:16:28"";""DZ BANK"";""0","32 EUR"";""0","33 EUR""",
"DV07UD;""Aurubis AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
"DV07UK;""BASF SE"";""Endlos Turbo Long"";""Endlos"";""14:34:01"";""DZ BANK"";""0","30 EUR"";""0","31 EUR""",
"DV07S1;""NVIDIA Corp."";""Endlos Turbo Long"";""Endlos"";""14:24:07"";""DZ BANK"";""0","09 EUR"";""0","30 EUR""",
"DV07UM;""BASF SE"";""Endlos Turbo Long"";""Endlos"";""14:16:28"";""DZ BANK"";""0","22 EUR"";""0","23 EUR""",
"DV07YC;""K+S AG"";""Endlos Turbo Long"";""Endlos"";""14:18:52"";""DZ BANK"";""0","45 EUR"";""0","46 EUR""",
"DV07R7;""Berkshire Hathaway Inc. B"";""Endlos Turbo Long"";""Endlos"";""14:37:53"";""DZ BANK"";""0","64 EUR"";""1","20 EUR""",
"DV07W2;""Fresenius SE & Co. KGaA"";""Endlos Turbo Long"";""Endlos"";""14:29:10"";""DZ BANK"";""0","10 EUR"";""0","11 EUR""",
"DFP260;""EUR/SEK"";""Endlos Turbo Long"";""Endlos"";""14:31:31"";""DZ BANK"";""0","19 EUR"";""0","23 EUR""",
"DV07ZE;""RWE AG"";""Endlos Turbo Long"";""Endlos"";""14:25:48"";""DZ BANK"";""0","001 EUR"";""0","021 EUR""",
"DV07YE;""Lanxess AG"";""Endlos Turbo Long"";""Endlos"";""14:24:43"";""DZ BANK"";""0","29 EUR"";""0","30 EUR""",
"DV07WD;""Deutsche Telekom AG"";""Endlos Turbo Long"";""Endlos"";""14:00:19"";""DZ BANK"";""0","12 EUR"";""0","13 EUR""",
"DV070G;""Tag Immobilien AG"";""Endlos Turbo Long"";""Endlos"";""--"";""DZ BANK"";"" -- EUR"";"" -- EUR""",,,
