Produkttyp;ISIN;Basiswert;Rückzahlungstermin;Geld;Brief;(Maßgebliche) Rendite p.a.;(Maßgeblicher) Sicherheitspuffer;(Mögliche) nächste Zahlung;Währung;ETF-Liefermöglichkeit;Besonderheit bei Rückzahlungsbeträgen;Nachhaltigkeit
Aktien-Anleihe;DE000LB2UFT6;RWE;24.06.2022 00:00:00;97,26;97,36;6,36 %;7,88 %;4,25 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UFR0;Daimler;24.06.2022 00:00:00;99,63;99,73;3,94 %;21,93 %;3,75 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UFP4;Infineon;23.07.2021 00:00:00;100,28;100,38;4,82 %;16,06 %;5,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UFN9;Bechtle;23.07.2021 00:00:00;97,34;97,54;11,95 %;7,77 %;5,00 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UFS8;Deutsche Post;24.06.2022 00:00:00;97,68;97,78;4,96 %;10,94 %;3,20 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UFQ2;BASF;24.06.2022 00:00:00;99,33;99,43;4,23 %;16,15 %;3,80 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UFU4;SAP;24.06.2022 00:00:00;96,93;97,03;5,12 %;9,59 %;2,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UK67;Fraport;26.08.2022 00:00:00;101,66;101,86;2,27 %;34,99 %;3,55 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJL5;Deutsche Lufthansa;26.08.2022 00:00:00;104,59;104,69;4,34 %;36,91 %;7,65 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UGZ1;Airbus;26.08.2022 00:00:00;102,23;102,33;7,03 %;12,32 %;8,70 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UJM3;Deutsche Lufthansa;26.08.2022 00:00:00;105,71;105,82;6,21 %;26,74 %;10,40 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UJ45;Danone;26.08.2022 00:00:00;100,24;100,44;2,45 %;17,52 %;2,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJN1;Deutsche Post;26.08.2022 00:00:00;97,92;98,02;4,41 %;14,76 %;3,00 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UMJ3;Volkswagen;26.08.2022 00:00:00;101,87;101,97;5,26 %;19,08 %;6,65 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2ULK3;Porsche;26.08.2022 00:00:00;102,77;102,98;3,37 %;22,79 %;5,45 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UMA2;Total;26.08.2022 00:00:00;101,00;101,10;4,58 %;21,89 %;5,35 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UM32;Siemens Healthineers;26.08.2022 00:00:00;101,12;101,32;2,84 %;7,27 %;3,75 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UM16;Siemens;26.08.2022 00:00:00;98,82;98,92;5,75 %;6,24 %;4,95 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULU2;SAP;26.08.2022 00:00:00;98,35;98,45;3,54 %;16,72 %;2,45 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULT4;Sanofi;26.08.2022 00:00:00;95,68;95,78;7,22 %;1,37 %;4,10 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2ULR8;RWE;26.08.2022 00:00:00;91,95;92,05;8,97 %;-5,30 %;6,30 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2ULL1;ProSiebenSat.1 Media;26.08.2022 00:00:00;101,36;101,56;1,33 %;50,82 %;2,40 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULG1;Orange;26.08.2022 00:00:00;99,47;99,57;3,21 %;17,72 %;2,90 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULD8;MünchenerRück;26.08.2022 00:00:00;101,34;101,44;4,74 %;13,58 %;5,75 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UL90;Morphosys;26.08.2022 00:00:00;93,27;93,47;8,96 %;4,08 %;4,05 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UL33;Linde;26.08.2022 00:00:00;99,33;99,43;5,07 %;6,95 %;4,65 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKX8;K+S;26.08.2022 00:00:00;96,82;96,97;6,26 %;28,56 %;4,05 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKY6;K+S;26.08.2022 00:00:00;96,14;96,29;9,79 %;12,32 %;6,95 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKV2;Infineon;26.08.2022 00:00:00;100,92;101,02;6,43 %;12,50 %;7,15 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKP4;HOCHTIEF;26.08.2022 00:00:00;95,14;95,34;7,92 %;5,21 %;4,45 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UKL3;HeidelbergCement;26.08.2022 00:00:00;99,18;99,28;7,26 %;6,08 %;6,70 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UK91;Freenet;26.08.2022 00:00:00;98,51;98,61;6,28 %;14,29 %;5,25 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UK75;Fraport;26.08.2022 00:00:00;102,62;102,83;3,91 %;25,43 %;5,90 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UJU6;Deutsche Telekom;26.08.2022 00:00:00;99,93;100,03;5,09 %;6,85 %;5,10 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UJC4;Deutsche Bank;26.08.2022 00:00:00;101,52;101,67;2,50 %;41,26 %;3,65 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UHP0;BMW;26.08.2022 00:00:00;100,16;100,26;5,93 %;9,09 %;6,10 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UHM7;BMW;26.08.2022 00:00:00;100,07;100,17;2,24 %;26,57 %;2,35 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UHF1;Bayer;26.08.2022 00:00:00;96,89;96,99;10,70 %;0,24 %;8,35 %;EUR;;;Basic (nicht nachhaltig)
Aktien-Anleihe;DE000LB2UH88;BASF;26.08.2022 00:00:00;99,86;99,96;2,33 %;26,18 %;2,30 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UH62;AXA;26.08.2022 00:00:00;101,46;101,56;3,96 %;23,17 %;5,05 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UH05;Allianz;26.08.2022 00:00:00;100,43;100,53;1,89 %;27,43 %;2,25 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2UGW8;Air Liquide;26.08.2022 00:00:00;97,38;97,48;4,04 %;8,51 %;2,25 %;EUR;;;ESG (nachhaltig)
Aktien-Anleihe;DE000LB2ULW8;SAP;26.08.2022 00:00:00;97,80;97,90;6,04 %;6,92 %;4,50 %;EUR;;;ESG (nachhaltig)
