Produkttyp;ISIN;Basiswert;Rückzahlungstermin;Geld;Brief;(Maßgebliche) Rendite p.a.;(Maßgeblicher) Sicherheitspuffer;(Mögliche) nächste Zahlung;Währung;ETF-Liefermöglichkeit;Besonderheit bei Rückzahlungsbeträgen;Nachhaltigkeit,,,,,,
Aktien-Anleihe;DE000LB2UFT6;RWE;24.06.2022 00:00:00;97,51;97,61;6,17 %;7,68 %;4,25 %;EUR;;;Basic (nicht nachhaltig),
Aktien-Anleihe;DE000LB2UFR0;Daimler;24.06.2022 00:00:00;100,83;100,93;3,00 %;24,25 %;3,75 %;EUR;;;Basic (nicht nachhaltig),
Aktien-Anleihe;DE000LB2UFP4;Infineon;23.07.2021 00:00:00;100,09;100,19;5,36 %;15,53 %;5,75 %;EUR;;;ESG (nachhaltig),
Aktien-Anleihe;DE000LB2UFN9;Bechtle;23.07.2021 00:00:00;97,96;98,16;10,27 %;9,28 %;5,00 %;EUR;;;Basic (nicht nachhaltig),
Aktien-Anleihe;DE000LB2UFS8;Deutsche Post;24.06.2022 00:00:00;99,23;99,33;3,72 %;13,93 %;3,20 %;EUR;;;ESG (nachhaltig),
Aktien-Anleihe;DE000LB2UFQ2;BASF;24.06.2022 00:00:00;100,65;100,75;3,19 %;18,26 %;3,80 %;EUR;;;ESG (nachhaltig),
Aktien-Anleihe;DE000LB2UFU4;SAP;24.06.2022 00:00:00;97,91;98,01;4,33 %;11,62 %;2,75 %;EUR;;;ESG (nachhaltig),
Aktien-Anleihe;DE000LB2UK67;Fraport;26.08.2022 00:00:00;101,81;102,01;2,17 %;36,21 %;3,55 %;EUR;;;ESG (nachhaltig),
Aktien-Anleihe;DE000LB2UJL5;Deutsche Lufthansa;26.08.2022 00:00:00;104,73;104,83;4,25 %;38,44 %;7,65 %;EUR;;;Basic (nicht nachhaltig),
Aktien-Anleihe;DE000LB2UGZ1;Airbus;26.08.2022 00:00:00;102,99;103,09;6,49 %;14,40 %;8,70 %;EUR;;;Basic (nicht nachhaltig),
Aktien-Anleihe;DE000LB2UJM3;Deutsche Lufthansa;26.08.2022 00:00:00;105,98;106,09;6,03 %;28,51 %;10,40 %;EUR;;;Basic (nicht nachhaltig),
Aktien-Anleihe;DE000LB2UJ45;Danone;26.08.2022 00:00:00;100,20;100,40;2,48 %;17,58 %;2,75 %;EUR;;;ESG (nachhaltig),
Aktien-Anleihe;DE000LB2UJN1;Deutsche Post;26.08.2022 00:00:00;99,42;99,52;3,35 %;17,61 %;3,00 %;EUR;;;ESG (nachhaltig),
Aktien-Anleihe;DE000LB2UMJ3;Volkswagen;26.08.2022 00:00:00;102,98;103,08;4,48 %;21,13 %;6,65 %;EUR;;;Basic (nicht nachhaltig),
Aktien-Anleihe;DE000LB2ULK3;Porsche;26.08.2022 00:00:00;104,30;104,51;2,33 %;26,45 %;5,45 %;EUR;;;Basic (nicht nachhaltig),
Aktien-Anleihe;DE000LB2UMA2;Total;26.08.2022 00:00:00;101,65;101,75;4,13 %;22,88 %;5,35 %;EUR;;;ESG (nachhaltig),
Aktien-Anleihe;DE000LB2UM32;Siemens Healthineers;26.08.2022 00:00:00;101,38;101,58;2,66 %;8,14 %;3,75 %;EUR;;;Basic (nicht nachhaltig),
Aktien-Anleihe;DE000LB2UM16;Siemens;26.08.2022 00:00:00;99,91;100,01;4,97 %;8,30 %;4,95 %;EUR;;;ESG (nachhaltig),
Aktien-Anleihe;DE000LB2ULU2;SAP;26.08.2022 00:00:00;99,19;99,29;2,96 %;18,58 %;2,45 %;EUR;;;ESG (nachhaltig),
Aktien-Anleihe;DE000LB2ULT4;Sanofi;26.08.2022 00:00:00;96,15;96,25;6,88 %;1,97 %;4,10 %;EUR;;;Basic (nicht nachhaltig),
Aktien-Anleihe;DE000LB2ULR8;RWE;26.08.2022 00:00:00;92,08;92,18;8,73 %;-5,53 %;6,30 %;EUR;;;Basic (nicht nachhaltig),
Aktien-Anleihe;DE000LB2ULL1;ProSiebenSat.1 Media;26.08.2022 00:00:00;101,81;102,01;1,03 %;53,39 %;2,40 %;EUR;;;ESG (nachhaltig),
Aktien-Anleihe;DE000LB2ULG1;Orange;26.08.2022 00:00:00;99,68;99,78;3,07 %;17,31 %;2,90 %;EUR;;;ESG (nachhaltig),
Aktien-Anleihe;DE000LB2ULD8;MünchenerRück;26.08.2022 00:00:00;102,46;102,56;3,96 %;15,63 %;5,75 %;EUR;;;ESG (nachhaltig),
Aktien-Anleihe;DE000LB2UL90;Morphosys;26.08.2022 00:00:00;94,78;94,98;7,80 %;7,64 %;4,05 %;EUR;;;ESG (nachhaltig),
