,ISIN,Produkt Name,Produkttyp,Basiswert,Begebungsdatum,Brief,Geld
0,DE000MA5MDQ7,"Mini-Future | Long | 2G Energy | 87,00 | 75,6521",Mini-Future,2G Energy,02.03.2021,"1,740 EUR","1,530 EUR"
1,DE000MA5MDP9,"Mini-Future | Long | 2G Energy | 86,00 | 74,7826",Mini-Future,2G Energy,02.03.2021,"1,820 EUR","1,610 EUR"
2,DE000MA5LZV2,"Faktor-Zertifikat | 6,00 | Long | AB InBev",Faktor-Zertifikat,AB InBev,02.03.2021,-,"9,980 EUR"
3,DE000MA5MBM0,"Turbo Open End | Long | Aareal Bank | 20,00",Turbo Open End,Aareal Bank,02.03.2021,-,"0,240 EUR"
4,DE000MA5ME47,"Mini-Future | Long | AB InBev | 47,00 | 44,7619",Mini-Future,AB InBev,02.03.2021,-,"0,450 EUR"
5,DE000MA5MAR1,"Mini-Future | Long | Activision Blizzard | 95,00 | 88,372",Mini-Future,Activision Blizzard,02.03.2021,"0,770 EUR","0,760 EUR"
6,DE000MA5MP44,"Optionsschein | Call | adidas | 460,00 | 16.09.22",Optionsschein,adidas,02.03.2021,"0,760 EUR","0,640 EUR"
7,DE000MA5MNY0,"Optionsschein | Call | adidas | 275,00 | 17.06.22",Optionsschein,adidas,02.03.2021,"4,710 EUR","4,660 EUR"
8,DE000MA5MP02,"Optionsschein | Call | adidas | 410,00 | 16.12.22",Optionsschein,adidas,02.03.2021,"1,450 EUR","1,330 EUR"
9,DE000MA5MP77,"Optionsschein | Call | adidas | 480,00 | 16.09.22",Optionsschein,adidas,02.03.2021,"0,650 EUR","0,530 EUR"
10,DE000MA5LZW0,"Faktor-Zertifikat | 7,00 | Long | AB InBev",Faktor-Zertifikat,AB InBev,02.03.2021,-,"9,960 EUR"
11,DE000MA5MNZ7,"Optionsschein | Call | adidas | 410,00 | 16.09.22",Optionsschein,adidas,02.03.2021,"1,170 EUR","1,050 EUR"
12,DE000MA5MP36,"Optionsschein | Call | adidas | 460,00 | 16.12.22",Optionsschein,adidas,02.03.2021,"0,960 EUR","0,840 EUR"
13,DE000MA5MP51,"Optionsschein | Call | adidas | 480,00 | 16.12.22",Optionsschein,adidas,02.03.2021,"0,840 EUR","0,720 EUR"
14,DE000MA5MP28,"Optionsschein | Call | adidas | 430,00 | 16.09.22",Optionsschein,adidas,02.03.2021,"0,970 EUR","0,850 EUR"
15,DE000MA5MQF2,"Optionsschein | Call | Adyen | 1.700,00 | 18.03.22",Optionsschein,Adyen,02.03.2021,-,"4,450 EUR"
16,DE000MA5MQN6,"Optionsschein | Call | Adyen | 1.800,00 | 17.06.22",Optionsschein,Adyen,02.03.2021,-,"4,220 EUR"
17,DE000MA5MQJ4,"Optionsschein | Call | Adyen | 1.800,00 | 17.12.21",Optionsschein,Adyen,02.03.2021,-,"3,500 EUR"
18,DE000MA5MQM8,"Optionsschein | Call | Adyen | 1.800,00 | 18.06.21",Optionsschein,Adyen,02.03.2021,-,"2,550 EUR"
19,DE000MA5M9C7,"Turbo Open End | Long | Advanced Micro Devices | 55,00",Turbo Open End,Advanced Micro Devices,02.03.2021,"2,520 EUR","2,510 EUR"
20,DE000MA5MQS5,"Optionsschein | Call | Adyen | 1.900,00 | 17.09.21",Optionsschein,Adyen,02.03.2021,-,"2,520 EUR"
21,DE000MA5MQX5,"Optionsschein | Call | Adyen | 2.300,00 | 18.06.21",Optionsschein,Adyen,02.03.2021,-,"0,570 EUR"
22,DE000MA5MQE5,"Optionsschein | Call | Adyen | 1.700,00 | 17.06.22",Optionsschein,Adyen,02.03.2021,-,"4,770 EUR"
23,DE000MA5MAJ8,"Mini-Future | Long | Advanced Micro Devices | 84,00 | 76,3636",Mini-Future,Advanced Micro Devices,02.03.2021,"0,730 EUR","0,720 EUR"
24,DE000MA5MP10,"Optionsschein | Call | adidas | 430,00 | 16.12.22",Optionsschein,adidas,02.03.2021,"1,210 EUR","1,090 EUR"
25,DE000MA5MQU1,"Optionsschein | Call | Adyen | 2.000,00 | 18.06.21",Optionsschein,Adyen,02.03.2021,-,"1,440 EUR"
26,DE000MA5MQV9,"Optionsschein | Call | Adyen | 2.100,00 | 18.06.21",Optionsschein,Adyen,02.03.2021,-,"1,060 EUR"
27,DE000MA5MPJ6,"Optionsschein | Call | Aegon | 4,25 | 17.12.21",Optionsschein,Aegon,02.03.2021,-,"0,350 EUR"
28,DE000MA5MP69,"Optionsschein | Call | adidas | 480,00 | 18.03.22",Optionsschein,adidas,02.03.2021,"0,310 EUR","0,260 EUR"
29,DE000MA5MR00,"Optionsschein | Call | Adyen | 2.800,00 | 18.06.21",Optionsschein,Adyen,02.03.2021,-,"0,163 EUR"
30,DE000MA5MQL0,"Optionsschein | Call | Adyen | 1.800,00 | 16.12.22",Optionsschein,Adyen,02.03.2021,-,"4,990 EUR"
31,DE000MA5MQK2,"Optionsschein | Call | Adyen | 1.800,00 | 17.09.21",Optionsschein,Adyen,02.03.2021,-,"3,080 EUR"
32,DE000MA5MPL2,"Optionsschein | Call | Aegon | 4,75 | 17.12.21",Optionsschein,Aegon,02.03.2021,-,"0,200 EUR"
33,DE000MA5MQG0,"Optionsschein | Call | Adyen | 1.800,00 | 16.09.22",Optionsschein,Adyen,02.03.2021,-,"4,620 EUR"
34,DE000MA5MPV1,"Optionsschein | Call | Aegon | 6,00 | 17.12.21",Optionsschein,Aegon,02.03.2021,-,"0,056 EUR"
35,DE000MA5MPG2,"Optionsschein | Call | Aegon | 3,75 | 17.12.21",Optionsschein,Aegon,02.03.2021,-,"0,600 EUR"
36,DE000MA5MQR7,"Optionsschein | Call | Adyen | 1.900,00 | 17.12.21",Optionsschein,Adyen,02.03.2021,-,"2,970 EUR"
37,DE000MA5MPP3,"Optionsschein | Call | Aegon | 5,00 | 17.12.21",Optionsschein,Aegon,02.03.2021,-,"0,149 EUR"
38,DE000MA5MPW9,"Optionsschein | Call | Airbus (Paris Listing) | 127,50 | 18.06.21",Optionsschein,Airbus (Paris Listing),02.03.2021,-,"0,167 EUR"
39,DE000MA5MPK4,"Optionsschein | Call | Aegon | 4,50 | 17.12.21",Optionsschein,Aegon,02.03.2021,-,"0,260 EUR"
40,DE000MA5MNE2,"Optionsschein | Call | Airbus (Paris Listing) | 160,00 | 17.06.22",Optionsschein,Airbus (Paris Listing),02.03.2021,-,"0,360 EUR"
41,DE000MA5MQT3,"Optionsschein | Call | Adyen | 1.900,00 | 17.06.22",Optionsschein,Adyen,02.03.2021,-,"3,720 EUR"
42,DE000MA5MPS7,"Optionsschein | Call | Aegon | 5,50 | 17.12.21",Optionsschein,Aegon,02.03.2021,-,"0,087 EUR"
43,DE000MA5MPA5,"Optionsschein | Call | Air Liquide | 120,00 | 16.12.22",Optionsschein,Air Liquide,02.03.2021,-,"1,680 EUR"
44,DE000MA5MNX2,"Optionsschein | Call | adidas | 265,00 | 17.06.22",Optionsschein,adidas,02.03.2021,"5,280 EUR","5,230 EUR"
45,DE000MA5MPH0,"Optionsschein | Call | Aegon | 4,00 | 17.12.21",Optionsschein,Aegon,02.03.2021,-,"0,470 EUR"
46,DE000MA5MQW7,"Optionsschein | Call | Adyen | 2.200,00 | 18.06.21",Optionsschein,Adyen,02.03.2021,-,"0,780 EUR"
47,DE000MA5M074,"Faktor-Zertifikat | 8,00 | Long | Adobe",Faktor-Zertifikat,Adobe,02.03.2021,"10,420 EUR","10,320 EUR"
48,DE000MA5MPT5,"Optionsschein | Call | Aegon | 6,00 | 18.06.21",Optionsschein,Aegon,02.03.2021,-,"0,022 EUR"
49,DE000MA5MP85,"Optionsschein | Call | Air Liquide | 120,00 | 17.06.22",Optionsschein,Air Liquide,02.03.2021,-,"1,510 EUR"
50,DE000MA5MPF4,"Optionsschein | Call | Air Liquide | 200,00 | 16.09.22",Optionsschein,Air Liquide,02.03.2021,-,"0,086 EUR"
51,DE000MA5MDY1,"Mini-Future | Long | Airbus | 97,00 | 91,5094",Mini-Future,Airbus,02.03.2021,"0,830 EUR","0,800 EUR"
52,DE000MA5MN79,"Optionsschein | Call | Airbus (Paris Listing) | 127,50 | 17.06.22",Optionsschein,Airbus (Paris Listing),02.03.2021,-,"0,810 EUR"
53,DE000MA5MPX7,"Optionsschein | Call | Airbus (Paris Listing) | 127,50 | 17.09.21",Optionsschein,Airbus (Paris Listing),02.03.2021,-,"0,350 EUR"
54,DE000MA5MQY3,"Optionsschein | Call | Adyen | 2.400,00 | 18.06.21",Optionsschein,Adyen,02.03.2021,-,"0,430 EUR"
55,DE000MA5MPE7,"Optionsschein | Call | Air Liquide | 200,00 | 16.12.22",Optionsschein,Air Liquide,02.03.2021,-,"0,132 EUR"
56,DE000MA5M2B4,"Turbo Open End | Short | Ageas | 56,00",Turbo Open End,Ageas,02.03.2021,-,"0,720 EUR"
57,DE000MA5MNB8,"Optionsschein | Call | Airbus (Paris Listing) | 145,00 | 17.09.21",Optionsschein,Airbus (Paris Listing),02.03.2021,-,"0,179 EUR"
58,DE000MA5MPC1,"Optionsschein | Call | Air Liquide | 120,00 | 16.09.22",Optionsschein,Air Liquide,02.03.2021,-,"1,590 EUR"
59,DE000MA5MPD9,"Optionsschein | Call | Air Liquide | 200,00 | 18.03.22",Optionsschein,Air Liquide,02.03.2021,-,"0,026 EUR"
60,DE000MA5MQP1,"Optionsschein | Call | Adyen | 1.900,00 | 18.03.22",Optionsschein,Adyen,02.03.2021,-,"3,370 EUR"
61,DE000MA5MBE7,"Turbo Open End | Long | Alten | 88,00",Turbo Open End,Alten,02.03.2021,-,"0,490 EUR"
62,DE000MA5MPY5,"Optionsschein | Call | Airbus (Paris Listing) | 145,00 | 18.06.21",Optionsschein,Airbus (Paris Listing),02.03.2021,-,"0,069 EUR"
63,DE000MA5MQZ0,"Optionsschein | Call | Adyen | 2.600,00 | 18.06.21",Optionsschein,Adyen,02.03.2021,-,"0,250 EUR"
64,DE000MA5MN87,"Optionsschein | Call | Airbus (Paris Listing) | 127,50 | 17.12.21",Optionsschein,Airbus (Paris Listing),02.03.2021,-,"0,510 EUR"
65,DE000MA5MPB3,"Optionsschein | Call | Air Liquide | 120,00 | 17.09.21",Optionsschein,Air Liquide,02.03.2021,-,"1,140 EUR"
66,DE000MA5ME05,"Mini-Future | Long | Allegro.eu | 62,50 | 54,3478",Mini-Future,Allegro.eu,02.03.2021,-,"2,710 EUR"
67,DE000MA5MNN3,"Optionsschein | Call | Aixtron | 26,00 | 18.06.21",Optionsschein,Aixtron,02.03.2021,"0,720 EUR","0,500 EUR"
68,DE000MA5MNK9,"Optionsschein | Call | Aixtron | 23,00 | 17.09.21",Optionsschein,Aixtron,02.03.2021,"1,410 EUR","1,190 EUR"
69,DE000MA5MPZ2,"Optionsschein | Call | Airbus (Paris Listing) | 160,00 | 18.06.21",Optionsschein,Airbus (Paris Listing),02.03.2021,-,"0,038 EUR"
70,DE000MA5MC72,"Turbo Open End | Long | Arkema | 88,00",Turbo Open End,Arkema,02.03.2021,-,"0,850 EUR"
71,DE000MA5MC31,"Turbo Open End | Long | ArcelorMittal | 18,50",Turbo Open End,ArcelorMittal,02.03.2021,-,"2,370 EUR"
72,DE000MA5MNR4,"Optionsschein | Call | Aixtron | 28,00 | 17.12.21",Optionsschein,Aixtron,02.03.2021,"1,120 EUR","0,900 EUR"
73,DE000MA5MNJ1,"Optionsschein | Call | Aixtron | 21,00 | 17.09.21",Optionsschein,Aixtron,02.03.2021,"1,900 EUR","1,680 EUR"
74,DE000MA5MNL7,"Optionsschein | Call | Aixtron | 23,00 | 18.06.21",Optionsschein,Aixtron,02.03.2021,"0,950 EUR","0,730 EUR"
75,DE000MA5MM88,"Optionsschein | Call | ASML | 570,00 | 17.09.21",Optionsschein,ASML,02.03.2021,"1,800 EUR","1,720 EUR"
76,DE000MA5M231,"Turbo Open End | Short | Airbus | 115,00",Turbo Open End,Airbus,02.03.2021,"1,710 EUR","1,680 EUR"
77,DE000MA5M2A6,"Turbo Open End | Short | Ageas | 60,00",Turbo Open End,Ageas,02.03.2021,-,"1,120 EUR"
78,DE000MA5MNH5,"Optionsschein | Call | Aixtron | 21,00 | 18.06.21",Optionsschein,Aixtron,02.03.2021,"1,330 EUR","1,110 EUR"
79,DE000MA5MP93,"Optionsschein | Call | Air Liquide | 120,00 | 18.03.22",Optionsschein,Air Liquide,02.03.2021,-,"1,430 EUR"
80,DE000MA5MN61,"Optionsschein | Call | Airbus (Paris Listing) | 122,50 | 17.06.22",Optionsschein,Airbus (Paris Listing),02.03.2021,-,"0,920 EUR"
81,DE000MA5MPM0,"Optionsschein | Call | Aegon | 4,75 | 18.06.21",Optionsschein,Aegon,02.03.2021,-,"0,079 EUR"
82,DE000MA5MM47,"Optionsschein | Call | ASML | 530,00 | 18.06.21",Optionsschein,ASML,02.03.2021,"1,490 EUR","1,410 EUR"
83,DE000MA5M280,"Turbo Open End | Short | ASM International | 240,00",Turbo Open End,ASM International,02.03.2021,-,"2,110 EUR"
84,DE000MA5MN04,"Optionsschein | Call | ASML | 760,00 | 17.09.21",Optionsschein,ASML,02.03.2021,"0,540 EUR","0,460 EUR"
85,DE000MA5MF61,"Mini-Future | Long | Arjo | 60,00 | 57,1428",Mini-Future,Arjo,02.03.2021,-,-
86,DE000MA5MMF1,"Optionsschein | Call | ASML | 660,00 | 18.06.21",Optionsschein,ASML,02.03.2021,"0,410 EUR","0,330 EUR"
87,DE000MA5MF79,"Mini-Future | Long | Arkema | 90,00 | 81,8181",Mini-Future,Arkema,02.03.2021,-,"1,440 EUR"
88,DE000MA5MAH2,"Mini-Future | Long | Advanced Micro Devices | 83,00 | 75,4545",Mini-Future,Advanced Micro Devices,02.03.2021,"0,810 EUR","0,800 EUR"
89,DE000MA5MM39,"Optionsschein | Call | ASML | 530,00 | 17.09.21",Optionsschein,ASML,02.03.2021,"2,540 EUR","2,460 EUR"
90,DE000MA5MMU0,"Optionsschein | Call | ASML | 720,00 | 18.03.22",Optionsschein,ASML,02.03.2021,"1,460 EUR","1,380 EUR"
91,DE000MA5MMR6,"Optionsschein | Call | ASML | 700,00 | 16.09.22",Optionsschein,ASML,02.03.2021,"2,590 EUR","2,510 EUR"
92,DE000MA5MNS2,"Optionsschein | Call | Aixtron | 28,00 | 18.06.21",Optionsschein,Aixtron,02.03.2021,"0,660 EUR","0,440 EUR"
93,DE000MA5MPN8,"Optionsschein | Call | Aegon | 4,75 | 17.09.21",Optionsschein,Aegon,02.03.2021,-,"0,141 EUR"
94,DE000MA5MM21,"Optionsschein | Call | ASML | 510,00 | 17.09.21",Optionsschein,ASML,02.03.2021,"3,050 EUR","2,970 EUR"
95,DE000MA5MDF0,"Mini-Future | Long | ANTA Sports Products | 120,00 | 111,6279",Mini-Future,ANTA Sports Products,02.03.2021,"1,590 EUR","1,270 EUR"
96,DE000MA5MNM5,"Optionsschein | Call | Aixtron | 23,00 | 17.12.21",Optionsschein,Aixtron,02.03.2021,"1,840 EUR","1,620 EUR"
97,DE000MA5MMV8,"Optionsschein | Call | ASML | 720,00 | 17.06.22",Optionsschein,ASML,02.03.2021,"1,860 EUR","1,780 EUR"
98,DE000MA5M3S6,"Turbo Open End | Short | Apache | 24,00",Turbo Open End,Apache,02.03.2021,"3,990 EUR","3,950 EUR"
99,DE000MA5MMW6,"Optionsschein | Call | ASML | 720,00 | 17.12.21",Optionsschein,ASML,02.03.2021,"1,050 EUR","0,970 EUR"
100,DE000MA5MLU2,"Optionsschein | Call | ASML | 450,00 | 17.06.22",Optionsschein,ASML,02.03.2021,"7,850 EUR","7,770 EUR"
101,DE000MA5M9M6,"Turbo Open End | Long | Apache | 12,50",Turbo Open End,Apache,02.03.2021,"6,410 EUR","6,370 EUR"
102,DE000MA5MNF9,"Optionsschein | Call | Allianz | 320,00 | 16.12.22",Optionsschein,Allianz,02.03.2021,"0,300 EUR","0,240 EUR"
103,DE000MA5MMK1,"Optionsschein | Call | ASML | 680,00 | 18.06.21",Optionsschein,ASML,02.03.2021,"0,350 EUR","0,270 EUR"
