Produkttyp,Valor,SIX Symbol,ISIN,Basiswert,Name,Fälligkeitsdatum,Währung,Geld,Brief
Constant Leverage,59979121,,CH0599791214,NASDAQ 100 Index,18x Long Faktor Zertifikat,Open End,CHF,6.679999828,6.699999809
Constant Leverage,59979120,,CH0599791206,Twitter Inc.,4x Long Faktor Zertifikat,Open End,CHF,4.170000076,4.190000057
Constant Leverage,59979119,,CH0599791198,AMD,8x Long Faktor Zertifikat,Open End,CHF,4.690000057,4.989999771
Constant Leverage,59979118,,CH0599791180,Barrick Gold,10x Long Faktor Zertifikat,Open End,CHF,6.75,7.25
Constant Leverage,59979117,,CH0599791172,Bayer,12x Long Faktor Zertifikat,Open End,CHF,5.599999905,5.75
Constant Leverage,59979116,,CH0599791164,Twitter Inc.,4x Short Faktor Zertifikat,Open End,CHF,6.079999924,6.110000134
Constant Leverage,59979115,,CH0599791156,Barrick Gold,8x Short Faktor Zertifikat,Open End,CHF,3.210000038,3.710000038
Constant Leverage,59979114,L5GLDU,CH0599791149,Barrick Gold,5x Long Faktor Zertifikat,Open End,CHF,5.43,5.73
Warrant mit Knock-Out,59975105,,CH0599751051,Silver oz./USD,Open End Turbo Put Warrant,Open End,CHF,1.184000015,1.194000006
Warrant mit Knock-Out,59975104,,CH0599751044,Silver oz./USD,Open End Turbo Put Warrant,Open End,CHF,1.138000011,1.148000002
Warrant mit Knock-Out,59975103,,CH0599751036,Silver oz./USD,Open End Turbo Put Warrant,Open End,CHF,0.999000013,1.008999944
Warrant mit Knock-Out,59975102,,CH0599751028,Silver oz./USD,Open End Turbo Put Warrant,Open End,CHF,0.950999975,0.961000025
Warrant mit Knock-Out,59975101,,CH0599751010,Silver oz./USD,Open End Turbo Put Warrant,Open End,CHF,0.99000001,1
Warrant mit Knock-Out,59975100,,CH0599751002,Silver oz./USD,Open End Turbo Put Warrant,Open End,CHF,0.861000001,0.870999992
Warrant mit Knock-Out,59975099,,CH0599750996,Silver oz./USD,Open End Turbo Put Warrant,Open End,CHF,0.910000026,0.920000017
Warrant mit Knock-Out,59975098,,CH0599750988,Silver oz./USD,Open End Turbo Put Warrant,Open End,CHF,0.768000007,0.777999997
Warrant mit Knock-Out,59975097,,CH0599750970,Silver oz./USD,Open End Turbo Put Warrant,Open End,CHF,0.806999981,0.816999972
Warrant mit Knock-Out,59975096,,CH0599750962,Silver oz./USD,Open End Turbo Put Warrant,Open End,CHF,0.67900002,0.68900001
Warrant mit Knock-Out,59975095,,CH0599750954,Silver oz./USD,Open End Turbo Put Warrant,Open End,CHF,0.630999982,0.640999973
Warrant mit Knock-Out,59975094,,CH0599750947,Silver oz./USD,Open End Turbo Put Warrant,Open End,CHF,0.670000017,0.680000007
Mini-Future,59975093,,CH0599750939,EUR/JPY,Short Mini-Future,Open End,CHF,2.148000002,2.150000095
Mini-Future,59975092,,CH0599750921,EUR/JPY,Short Mini-Future,Open End,CHF,1.976999998,1.978999972
Mini-Future,59975091,,CH0599750913,Silver oz./USD,Short Mini-Future,Open End,CHF,2.822999954,2.832999945
Mini-Future,59975090,,CH0599750905,Silver oz./USD,Short Mini-Future,Open End,CHF,2.640000105,2.650000095
Mini-Future,59975089,,CH0599750897,Silver oz./USD,Short Mini-Future,Open End,CHF,2.461999893,2.471999884
Mini-Future,59975088,,CH0599750889,Silver oz./USD,Short Mini-Future,Open End,CHF,2.469000101,2.479000092
Mini-Future,59975087,,CH0599750871,Silver oz./USD,Short Mini-Future,Open End,CHF,2.367000103,2.377000093
Mini-Future,59975086,,CH0599750863,Silver oz./USD,Short Mini-Future,Open End,CHF,2.286999941,2.296999931
Warrant mit Knock-Out,59975085,,CH0599750855,USD/JPY,Open End Turbo Call Warrant,Open End,CHF,0.240999997,0.241999999
Warrant mit Knock-Out,59975084,,CH0599750848,Platinum oz./USD,Open End Turbo Call Warrant,Open End,CHF,0.237000003,0.246999994
Warrant mit Knock-Out,59975083,,CH0599750830,Platinum oz./USD,Open End Turbo Call Warrant,Open End,CHF,0.222000003,0.231999993
Mini-Future,59975082,,CH0599750822,GBP/USD,Short Mini-Future,Open End,CHF,2.407999992,2.410000086
Mini-Future,59975081,,CH0599750814,GBP/USD,Short Mini-Future,Open End,CHF,0.305999994,0.307999998
Warrant mit Knock-Out,59975080,,CH0599750806,EUR/CHF,Open End Turbo Put Warrant,Open End,CHF,2.568000078,2.578000069
Warrant mit Knock-Out,59975079,,CH0599750798,GBP/USD,Open End Turbo Put Warrant,Open End,CHF,2.417999983,2.420000076
Warrant mit Knock-Out,59975078,,CH0599750780,GBP/USD,Open End Turbo Put Warrant,Open End,CHF,0.497999996,0.5
Warrant mit Knock-Out,59975077,,CH0599750772,GBP/USD,Open End Turbo Put Warrant,Open End,CHF,0.316000015,0.317999989
Warrant mit Knock-Out,59975076,,CH0599750764,GBP/USD,Open End Turbo Put Warrant,Open End,CHF,0.133000001,0.135000005
Mini-Future,59975075,,CH0599750756,Platinum oz./USD,Short Mini-Future,Open End,CHF,0.275000006,0.284999996
Warrant mit Knock-Out,59975073,,CH0599750731,ASM Lithography,Open End Turbo Put Warrant,Open End,CHF,2.940000057,2.970000029
Warrant mit Knock-Out,59975072,,CH0599750723,ASM Lithography,Open End Turbo Put Warrant,Open End,CHF,2.710000038,2.74000001
Warrant mit Knock-Out,59975071,,CH0599750715,Anheuser-Busch InBev,Open End Turbo Put Warrant,Open End,CHF,0.098999999,0.188999996
Warrant mit Knock-Out,59975070,,CH0599750707,Total SE,Open End Turbo Put Warrant,Open End,CHF,0.105999999,0.136000007
Warrant mit Knock-Out,59975069,,CH0599750699,BNP Paribas,Open End Turbo Put Warrant,Open End,CHF,0.192000002,0.222000003
Warrant mit Knock-Out,59975067,,CH0599750673,Beiersdorf,Open End Turbo Put Warrant,Open End,CHF,0.301999986,0.351999998
Warrant mit Knock-Out,59975066,,CH0599750665,Bayer,Open End Turbo Put Warrant,Open End,CHF,0.324000001,0.344000012
Warrant mit Knock-Out,59975063,,CH0599750632,NVIDIA Corp,Open End Turbo Put Warrant,Open End,CHF,2.285000086,2.295000076
Warrant mit Knock-Out,59975062,,CH0599750624,NVIDIA Corp,Open End Turbo Put Warrant,Open End,CHF,1.475000024,1.485000014
Warrant mit Knock-Out,59975059,,CH0599750590,Visa,Open End Turbo Put Warrant,Open End,CHF,0.328999996,0.338999987
Warrant mit Knock-Out,59975057,,CH0599750574,Starbucks,Open End Turbo Put Warrant,Open End,CHF,0.402999997,0.412999988
Warrant mit Knock-Out,59975053,,CH0599750533,Pfizer,Open End Turbo Put Warrant,Open End,CHF,0.041000001,0.150000006
