"Produkttyp","Valor","SIX Symbol","ISIN","Basiswert","Name","Fälligkeitsdatum","Währung","Geld","Brief"
"Constant Leverage","59979121","","CH0599791214","NASDAQ 100 Index","18x Long Faktor Zertifikat","Open End","CHF","6.679999828338623","6.699999809265137"
"Constant Leverage","59979120","","CH0599791206","Twitter Inc.","4x Long Faktor Zertifikat","Open End","CHF","4.170000076293945","4.190000057220459"
"Constant Leverage","59979119","","CH0599791198","AMD","8x Long Faktor Zertifikat","Open End","CHF","4.690000057220459","4.989999771118164"
"Constant Leverage","59979118","","CH0599791180","Barrick Gold","10x Long Faktor Zertifikat","Open End","CHF","6.75","7.25"
"Constant Leverage","59979117","","CH0599791172","Bayer","12x Long Faktor Zertifikat","Open End","CHF","5.599999904632568","5.75"
"Constant Leverage","59979116","","CH0599791164","Twitter Inc.","4x Short Faktor Zertifikat","Open End","CHF","6.079999923706055","6.110000133514404"
"Constant Leverage","59979115","","CH0599791156","Barrick Gold","8x Short Faktor Zertifikat","Open End","CHF","3.210000038146973","3.710000038146973"
"Constant Leverage","59979114","L5GLDU","CH0599791149","Barrick Gold","5x Long Faktor Zertifikat","Open End","CHF","5.43","5.73"
"Constant Leverage","59978475","S5GOLU","CH0599784755","Barrick Gold","5x Short Faktor Zertifikat","Open End","CHF","4.38","4.68"
"Constant Leverage","59978474","S5DEBU","CH0599784748","Deutsche Bank","5x Short Faktor Zertifikat","Open End","CHF","5.02","5.12"
"Warrant mit Knock-Out","59975127","","CH0599751275","Gold","Open End Turbo Put Warrant","Open End","CHF","0.6840000152587891","0.6869999766349792"
"Warrant mit Knock-Out","59975126","","CH0599751267","Gold","Open End Turbo Put Warrant","Open End","CHF","0.5970000028610229","0.6000000238418579"
"Warrant mit Knock-Out","59975125","","CH0599751259","Gold","Open End Turbo Put Warrant","Open End","CHF","0.5009999871253967","0.5040000081062317"
"Warrant mit Knock-Out","59975124","","CH0599751242","Gold","Open End Turbo Put Warrant","Open End","CHF","0.4280000030994415","0.4309999942779541"
"Warrant mit Knock-Out","59975123","","CH0599751234","Gold","Open End Turbo Put Warrant","Open End","CHF","0.3179999887943268","0.3210000097751617"
"Warrant mit Knock-Out","59975122","","CH0599751226","EUR/JPY","Open End Turbo Put Warrant","Open End","CHF","2.153000116348267","2.154999971389771"
"Warrant mit Knock-Out","59975121","","CH0599751218","EUR/JPY","Open End Turbo Put Warrant","Open End","CHF","1.98199999332428","1.983999967575073"
"Mini-Future","59975120","","CH0599751200","Gold","Short Mini-Future","Open End","CHF","0.9940000176429749","0.996999979019165"
"Mini-Future","59975119","","CH0599751192","Gold","Short Mini-Future","Open End","CHF","0.9520000219345093","0.9549999833106995"
"Mini-Future","59975118","","CH0599751184","Gold","Short Mini-Future","Open End","CHF","0.9029999971389771","0.906000018119812"
"Mini-Future","59975117","","CH0599751176","Gold","Short Mini-Future","Open End","CHF","0.8569999933242798","0.8600000143051147"
"Mini-Future","59975116","","CH0599751168","Gold","Short Mini-Future","Open End","CHF","0.8149999976158142","0.8180000185966492"
"Mini-Future","59975115","","CH0599751150","Gold","Short Mini-Future","Open End","CHF","0.765999972820282","0.7689999938011169"
"Mini-Future","59975114","","CH0599751143","Gold","Short Mini-Future","Open End","CHF","0.7200000286102295","0.7229999899864197"
"Mini-Future","59975113","","CH0599751135","Gold","Short Mini-Future","Open End","CHF","0.6740000247955322","0.6769999861717224"
"Warrant mit Knock-Out","59975112","","CH0599751127","Silver oz./USD","Open End Turbo Put Warrant","Open End","CHF","1.493000030517578","1.503000020980835"
"Warrant mit Knock-Out","59975111","","CH0599751119","Silver oz./USD","Open End Turbo Put Warrant","Open End","CHF","1.447000026702881","1.457000017166138"
"Warrant mit Knock-Out","59975110","","CH0599751101","Silver oz./USD","Open End Turbo Put Warrant","Open End","CHF","1.317999958992004","1.327999949455261"
"Warrant mit Knock-Out","59975109","","CH0599751093","Silver oz./USD","Open End Turbo Put Warrant","Open End","CHF","1.286999940872192","1.297000050544739"
"Warrant mit Knock-Out","59975108","","CH0599751085","Silver oz./USD","Open End Turbo Put Warrant","Open End","CHF","1.309999942779541","1.320000052452087"
"Warrant mit Knock-Out","59975107","","CH0599751077","Silver oz./USD","Open End Turbo Put Warrant","Open End","CHF","1.180999994277954","1.190999984741211"
"Warrant mit Knock-Out","59975106","","CH0599751069","Silver oz./USD","Open End Turbo Put Warrant","Open End","CHF","1.133999943733215","1.144000053405762"
"Warrant mit Knock-Out","59975105","","CH0599751051","Silver oz./USD","Open End Turbo Put Warrant","Open End","CHF","1.184000015258789","1.194000005722046"
"Warrant mit Knock-Out","59975104","","CH0599751044","Silver oz./USD","Open End Turbo Put Warrant","Open End","CHF","1.138000011444092","1.148000001907349"
"Warrant mit Knock-Out","59975103","","CH0599751036","Silver oz./USD","Open End Turbo Put Warrant","Open End","CHF","0.9990000128746033","1.008999943733215"
"Warrant mit Knock-Out","59975102","","CH0599751028","Silver oz./USD","Open End Turbo Put Warrant","Open End","CHF","0.9509999752044678","0.9610000252723694"
"Warrant mit Knock-Out","59975101","","CH0599751010","Silver oz./USD","Open End Turbo Put Warrant","Open End","CHF","0.9900000095367432","1"
"Warrant mit Knock-Out","59975100","","CH0599751002","Silver oz./USD","Open End Turbo Put Warrant","Open End","CHF","0.8610000014305115","0.8709999918937683"
