"Produkttyp","Valor","SIX Symbol","ISIN","Basiswert","Name","Fälligkeitsdatum","Währung","Geld","Brief"
"Discount Zertifikat","59951213","ASDASU","CH0599512131","Baidu Inc","Standard BLOC","2022-02-18","USD","247.5","250.75"
"BRC Callable","59951067","","CH0599510671","Casino / Exxon Mobil / VIATRIS INC","25.00% p.a. Callable Kick-In GOAL","2021-11-23","USD","98.83999633789062","99.83999633789062"
"BRC Coupon at Risk","59769763","","CH0597697637","Airbus Group SE / Carrefour / Total SE","10.00% p.a. Kick-In Certificate (Coupon at Risk)","2022-03-21","EUR","99.94","100.94"
"BRC Early Redemption","59769725","","CH0597697256","BioNTech SE / Lonza / Pfizer","18.10% p.a. Early Redemption Kick-In GOAL","2022-02-28","CHF","98.37000274658203","99.37000274658203"
"Express-Zertifikat","59769654","","CH0597696548","Credit Suisse / Hess Corporation / Royal Dutch Shell plc","Express-Zertifikat","2022-08-16","USD","100.9199981689453","101.9199981689453"
"Discount Zertifikat","59769343","DURFUU","CH0597693438","UBS Group AG","Standard BLOC","2022-02-09","CHF","12.9399995803833","12.97999954223633"
"Discount Zertifikat","59769286","WDAEWU","CH0597692869","Glencore","Standard BLOC","2022-02-17","GBP","2.51","2.54"
"Discount Zertifikat","59769061","QRTUUU","CH0597690616","Gilead","Standard BLOC","2022-02-09","USD","56.15","56.5"
"BRC Coupon at Risk","59768910","","CH0597689105","ArcelorMittal / Intesa Sanpaolo / Nokia Oyj","14.80% p.a. Kick-In Certificate (Coupon at Risk)","2022-02-21","EUR","100.49","101.49"
"BRC Coupon at Risk","59768891","","CH0597688917","Ferrari / Kering / UniCredit","12.60% p.a. Kick-In Certificate (Coupon at Risk)","2022-02-21","EUR","101.24","102.24"
"Express-Zertifikat","59768855","","CH0597688552","BNP Paribas / Inditex / Total SE","Express-Zertifikat","2022-02-16","USD","100.4899978637695","101.4899978637695"
"Tracker-Zertifikat","59749872","","CH0597498721","Z22 Smart CP EUR Portfolio","Strategy Certificate auf Z22 Smart CP EUR Portfolio","2028-02-14","EUR","98.52999877929688","99.52999877929688"
"Reverse Convertible","59740941","","CH0597409413","Alstom / AXA / Total SE","10.40% p.a. Early Redemption Worst of GOAL","2022-02-23","EUR","100.56","101.06"
"Reverse Convertible","59740614","","CH0597406146","Alcon / Nestlé / Novartis","4.50% p.a. Early Redemption Worst of GOAL","2022-02-25","CHF","99.88","100.38"
"Reverse Convertible","59626268","","CH0596262680","Credit Suisse / ING / Intesa Sanpaolo","10.30% p.a. Early Redemption Worst of GOAL","2021-11-19","EUR","101.01","101.51"
"Reverse Convertible","59626221","","CH0596262219","Nestlé / Novartis / Roche","6.60% p.a. Early Redemption Worst of GOAL","2022-02-18","CHF","99.44","99.94"
"Reverse Convertible","59625914","","CH0596259140","Freeport McMoRan","8.00% p.a. Early Redemption GOAL","2022-02-16","USD","100.2300033569336","101.2300033569336"
"Weiter Renditeoptimierungs-Zertifikat","59600154","","CH0596001542","S&P 500 Index","Capped Airbag Certificate auf S&P 500 Index","2021-06-18","SGD","35.20000076293945","35.31999969482422"
"Weiter Renditeoptimierungs-Zertifikat","59600153","","CH0596001534","S&P 500 Index","Capped Airbag Certificate auf S&P 500 Index","2021-06-18","GBP","35.20000076293945","35.33000183105469"
"Weiter Renditeoptimierungs-Zertifikat","59600152","","CH0596001526","S&P 500 Index","Capped Airbag Certificate auf S&P 500 Index","2021-06-18","EUR","35.2599983215332","35.38000106811523"
"Weiter Renditeoptimierungs-Zertifikat","59600151","","CH0596001518","S&P 500 Index","Capped Airbag Certificate auf S&P 500 Index","2021-06-18","USD","35.18000030517578","35.29999923706055"
"Weiter Renditeoptimierungs-Zertifikat","59600150","","CH0596001500","S&P 500 Index","Capped Airbag Certificate auf S&P 500 Index","2021-06-18","CHF","35.31000137329102","35.43000030517578"
"BRC Standard","59600040","KIBVDU","CH0596000403","AstraZeneca / BioNTech SE","17.25% p.a. Kick-In GOAL","2022-02-24","CHF","96.05000305175781","97.05000305175781"
"BRC Standard","59600036","KIBRDU","CH0596000361","Delivery Hero ","9.50% p.a. Kick-In GOAL","2022-02-24","EUR","98.09999999999999","99.09999999999999"
"BRC Standard","59600034","KIBODU","CH0596000346","ABB / Geberit / LafargeHolcim","4.50% p.a. Kick-In GOAL","2022-02-24","CHF","99.79000000000001","100.79"
"BRC Standard","59600033","KIBNDU","CH0596000338","LafargeHolcim / SGS / Sika AG","3.75% p.a. Kick-In GOAL","2022-02-24","CHF","99.55","100.55"
"BRC Callable","59600028","KICODU","CH0596000288","Idorsia Ltd / Novartis / Roche","7.25% p.a. Callable Kick-In GOAL","2023-02-24","CHF","101.7","102.7"
"BRC Callable","59600025","KICQDU","CH0596000254","AMS / Logitech / Temenos","16.25% p.a. Callable Kick-In GOAL","2022-08-29","CHF","96.86","97.86"
"BRC Early Redemption","59600020","KICIDU","CH0596000205","Bayer / Moderna Inc. / Roche","19.00% p.a. Early Redemption Kick-In GOAL","2022-08-29","CHF","99.75","100.75"
"BRC Callable","59600019","KICPDU","CH0596000197","Givaudan / Lonza / Sika AG","7.00% p.a. Callable Kick-In GOAL","2023-02-24","CHF","98.95","99.95"
"BRC Callable","59600018","KICNDU","CH0596000189","Logitech / Swisscom","9.75% p.a. Callable Kick-In GOAL","2022-08-29","CHF","98.94","99.94"
"BRC Early Redemption","59600017","KICFDU","CH0596000171","Lonza / Moderna Inc.","17.75% p.a. Early Redemption Kick-In GOAL","2022-08-29","CHF","100.5299987792969","101.5299987792969"
"BRC Early Redemption","59600016","KICBDU","CH0596000163","Nestlé / Novartis / Roche","5.50% p.a. Early Redemption Kick-In GOAL","2023-02-24","CHF","99.51000000000001","100.51"
"BRC Standard","59600015","KIBUDU","CH0596000155","Swiss Life / Swiss Re / Zurich Insurance","5.75% p.a. Kick-In GOAL","2022-08-29","CHF","100.7","101.7"
"BRC Standard","59600013","KIBPDU","CH0596000130","AMS / Richemont / The Swatch Grp Bearer","13.50% p.a. Kick-In GOAL","2022-02-24","CHF","95.91","96.91"
"Bonus-Zertifikat","59599989","","CH0595999894","Unilever","PERLES Plus","2025-02-10","EUR","43.17","43.62"
"BRC Callable","59599715","KICMDU","CH0595997153","BMW / Daimler / Porsche","10.50% p.a. Callable Kick-In GOAL","2022-08-29","EUR","101","102"
